Unnamed: 0,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Hull,Type,Cabins,Is_Mono,Is_Diesel,Is_Cutter,Is_Ketch,Is_masthead_sloop,Is_Excellent,Is_Fair,Is_Good,Is_project_boat,Motor_Type,Engine_Count,Is_Inboard,Year_Listed,Asking_Price_Adj
235,2012-11-13,125000.0,2006,36.0,12.0,5.6,New York,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,147526.72108156138
237,2012-11-12,12000.0,1974,23.0,8.0,3.0,Florida,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,1,0,0,0,outboard,1,0,2012,14162.565223829894
238,2012-11-12,9850.0,1988,26.5,9.0,3.5,Georgia,fiberglass,monohull,cruiser,1.0,1,0,0,0,0,0,0,1,0,motorless,0,0,2012,11625.105621227038
242,2012-11-11,85000.0,1983,37.0,10.1,5.0,Florida,fiberglass,monohull,cruiser,2.0,1,1,0,0,0,0,1,0,0,inboard,1,1,2012,100318.17033546176
243,2012-11-11,10000.0,1974,25.0,8.0,2.5,Outside United States,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,0,0,1,0,inboard,1,1,2012,11802.137686524911
246,2012-11-09,7495.0,1979,25.0,9.2,3.6,Wisconsin,fiberglass,monohull,cruiser,2.0,1,0,0,0,1,1,0,0,0,outboard,1,0,2012,8845.70219605042
247,2012-11-09,119000.0,2006,35.0,12.0,4.6,Maryland,fiberglass,monohull,cruiser,2.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,140445.43846964644
252,2012-11-05,93500.0,2008,32.0,11.9,4.4,Florida,fiberglass,monohull,cruiser,3.0,1,1,0,0,1,1,0,0,0,inboard,1,1,2012,110349.98736900793
255,2012-11-04,14900.0,1981,36.5,11.0,4.5,Maryland,fiberglass,monohull,cruiser,3.0,1,1,1,0,0,0,1,0,0,inboard,1,1,2012,17585.185152922117
259,2012-11-03,3380.0,1981,25.0,8.8,3.0,Georgia,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,0,0,1,0,outboard,1,0,2012,3989.12253804542
260,2012-11-03,6250.0,1968,25.0,8.8,3.6,Georgia,fiberglass,monohull,cruiser,1.0,1,0,0,0,0,0,0,1,0,outboard,1,0,2012,7376.336054078069
261,2012-11-03,42000.0,1979,24.0,8.9,4.0,Georgia,fiberglass,monohull,cruiser,1.0,1,0,0,0,1,0,0,1,0,outboard,1,0,2012,49568.97828340463
262,2012-11-03,7500.0,1979,29.0,11.0,5.42,Georgia,fiberglass,monohull,cruiser,1.0,1,1,0,0,0,0,0,1,0,inboard,1,1,2012,8851.603264893683
265,2012-11-02,12500.0,1989,27.0,8.1,3.6,Florida,fiberglass,monohull,cruiser,1.0,1,1,0,0,1,0,0,0,0,inboard,1,1,2012,14752.67210815614
