Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
GB Rhodes 22,17-Dec-2019,"$6,000",1 gas outboard,1987,22',8',2',Maryland,fiberglass,monohull,cruiser,other,1.0,good
Nauticat 33,17-Dec-2019,"$50,000",1 diesel inboard,1980,33',33',4.5',,fiberglass,monohull,motorsailer,ketch,3.0,good
Warrior Catamaran,16-Dec-2019,"$17,999", gas outboard,1980,31',',',Florida,other,catamaran,daysailer,,,excellent
Mirage 29,16-Dec-2019,"$35,000",1 diesel inboard,1989,29',9.5',5.5',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Catalina 30 Partnership,16-Dec-2019,"$4,000",1 gas inboard,1976,30',10',5',California,fiberglass,monohull,cruiser,fractional sloop,,excellent
Spcns ,15-Dec-2019,"$10,000",1 diesel inboard,1974,75',12',',California,other,monohull,motorsailer,ketch,3.0,fair
Hunter 28.5,13-Dec-2019,"$11,000",1 diesel inboard,1986,28.5',10' 6',5' 2',Ohio,fiberglass,monohull,cruiser,masthead sloop,1.0,good
islander i36,12-Dec-2019,"$17,000",1 diesel inboard,1977,36',13',5.5',Outside United States,fiberglass,monohull,cruiser,masthead sloop,1.0,
Lagoon 380,12-Dec-2019,"$149,800",2 diesel inboard,2007,37',21',3.9',Outside United States,fiberglass,catamaran,,yawl,4.0,excellent
Mirage yachts Kirby 25,11-Dec-2019,"$2,000", gas outboard,1979,25',8.75',4',Florida,fiberglass,monohull,racer/cruiser,fractional sloop,,good
Whitby 42,11-Dec-2019,"$69,900",1 diesel inboard,1975,42',13',5',Oklahoma,fiberglass,monohull,cruiser,ketch,2.0,excellent
Dehler 43 CWS,10-Dec-2019,"$75,000",1 diesel inboard,1993,43',',6.5',Outside United States,fiberglass,monohull,cruiser,,3.0,excellent
Hunter 41 Deck Salon,10-Dec-2019,"$149,000", diesel inboard,2006,40'4',',',Florida,fiberglass,monohull,cruiser,fractional sloop,,excellent
Catalina 350 MK II,10-Dec-2019,"$112,000",1 diesel inboard,2008,35',13',4'9',Florida,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
97 MacGregor 26X,10-Dec-2019,"$12,500",1 gas outboard,1997,26',',',Florida,fiberglass,monohull,motorsailer,,1.0,good
Beneteau Oceanis 40,09-Dec-2019,"$174,900",1 diesel inboard,2008,40',12.83',6.42',California,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
beneteau oceanis 423,09-Dec-2019,"$149,000",1 diesel inboard,2004,43',13',6',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
LD Thistle 1703,09-Dec-2019,"$3,000",,1971,17',6',4',Florida,fiberglass,monohull,daysailer,other,0.0,good
Atkins Cutter,09-Dec-2019,"$51,900",1 diesel inboard,1991,30',9',5'6',Maine,wood,monohull,cruiser,,,excellent
