Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Willard Cutter 8T,27-Jul-2021,"$29,500",1 diesel inboard,1978,30',10.6',4.8',Maryland,fiberglass,monohull,cruiser,cutter,2.0,good
Cheoy Lee Offshore 32,27-Jul-2021,"$9,950",1 diesel inboard,1978,32',10.5',4.5',New York,fiberglass,monohull,cruiser,ketch,1.0,fair
Hobie Getaway,27-Jul-2021,"$3,250",,2005,16' 7',"7' 8""'","10""'",New York,composite,catamaran,daysailer,cat boat,0.0,fair
Endeavour Sloop,27-Jul-2021,"$35,000",1 diesel inboard,1984,33',11.6',4.6',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
S2 7.9,27-Jul-2021,"$12,000",1 gas outboard,1987,26',9',50',Minnesota,fiberglass,monohull,racer/cruiser,fractional sloop,2.0,excellent
Olson 40,27-Jul-2021,"$60,000",1 diesel inboard,1983,40',11'4',6'6',Missouri,fiberglass,monohull,cruiser,,,good
Atlas Boat Works 47,27-Jul-2021,"$229,808", diesel inboard,2000,47',15'2',6'6',Outside United States,composite,monohull,cruiser,,2.0,
J30 Tillotson Pearson Yachts,27-Jul-2021,"$19,000",1 diesel inboard,,30',11',5'4',Louisiana,fiberglass,monohull,racer/cruiser,,,excellent
ADH Inotec Diam 24 one design,27-Jul-2021,"$29,550", other outboard,,24',',',Outside United States,,trimaran,daysailer,,,
Windrider Rave,26-Jul-2021,"$6,000",,1998,17',17',3',California,other,trimaran,racer,other,0.0,good
Canadian Sailcraft 33,26-Jul-2021,"$28,000",1 diesel inboard,1981,33',10',5'8',Outside United States,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
SOLD SOLD,26-Jul-2021,"$13,000",1 gas outboard,1998,26',8',1',Florida,fiberglass,monohull,daysailer,other,1.0,excellent
Pearson 30 P-30,26-Jul-2021,"$9,000",1 gas inboard,1976,30',9.5',5',New York,fiberglass,monohull,cruiser,,1.0,good
Hunter 336,26-Jul-2021,"$49,900", diesel inboard,196,33.5',',',Outside United States,fiberglass,monohull,cruiser,,3.0,excellent
Marshall Marine Sanderling,26-Jul-2021,"$10,000",1 gas outboard,1978,18',8'6',2'6',Georgia,fiberglass,monohull,daysailer,cat boat,1.0,good
Downeaster Downeaster 38,18-Dec-2021,"$110,000",1 diesel inboard,1979,38',12',4.11',Florida,fiberglass,monohull,cruiser,cutter,1.0,good
Tanzer 22,26-Jul-2021,"$4,900",1 gas outboard,1978,22',7'10',2  4',Pennsylvania,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
CT Ketch,25-Jul-2021,"$107,365",,1975,48',13',',Outside United States,fiberglass,monohull,cruiser,,2.0,
catalina 34,25-Jul-2021,"$70,000", diesel inboard,1997,34',11.9',',California,fiberglass,monohull,cruiser,,,good
Pearson 365 Sloop,25-Jul-2021,"$35,000",1 diesel inboard,1979,36-4',11.5',4.5',Georgia,fiberglass,monohull,cruiser,,2.0,good
Catalina 30,25-Jul-2021,"$15,500",1 gas inboard,1979,30',11',5.2',Georgia,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Pearson 28,09-Apr-2022,"$11,500",1 diesel inboard,1981,28',9.33',5',Maryland,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
Morgan MKII 383,24-Jul-2021,"$39,375",1 diesel inboard,1979,38',12.5',5'10',Michigan,fiberglass,monohull,cruiser,masthead sloop,1.0,good
San Juan 23',24-Jul-2021,"$5,000",1 gas outboard,1978,23',8',',Washington,fiberglass,monohull,racer/cruiser,fractional sloop,,fair
Catalina Coronado 15,24-Jul-2021,"$3,000", gas inboard,,15.3',5.6',3.6',Iowa,fiberglass,monohull,racer/cruiser,fractional sloop,,excellent
AMF Sunfish,24-Jul-2021,"$1,200", gas inboard,1977,14',',',Wisconsin,fiberglass,monohull,cruiser,other,,excellent
CS 33,24-Jul-2021,"$39,900",1 diesel inboard,1983,33',10',4',Outside United States,fiberglass,monohull,cruiser,,,
Corsair Sprint 750 MK1,23-Jul-2021,"$28,000",1 gas outboard,2007,24',18',5.25',Outside United States,fiberglass,trimaran,racer,fractional sloop,1.0,good
HARDIN seawolf,23-Jul-2021,"$74,500",1 diesel inboard,1977,42',12.7',6',,fiberglass,monohull,cruiser,ketch,2.0,
Beneteau First 285,23-Jul-2021,"$28,000",1 diesel inboard,1989,28.5',10',4',Outside United States,fiberglass,monohull,racer/cruiser,fractional sloop,2.0,excellent
Jeanneau 43 DS,23-Jul-2021,"$229,000",1 diesel inboard,2005,43',15',5'5',Maryland,fiberglass,monohull,cruiser,,,excellent
Catalina 27,23-Jul-2021,"$3,000",1 diesel inboard,1975,27',9',3 12',North Carolina,fiberglass,monohull,cruiser,masthead sloop,1.0,project boat
alberg 37,22-Jul-2021,"$21,000",1 gas inboard,,37',10.17',5.5',Mississippi,fiberglass,monohull,cruiser,,,fair
Catalina Sloop,22-Jul-2021,"$16,500",1 diesel inboard,1989,30',1010',310',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Mariner 48,22-Jul-2021,"$80,000",1 diesel inboard,1981,48',14.5',8.4',Hawaii,fiberglass,monohull,cruiser,ketch,3.0,good
Alden Yachts Alden 44,08-Sep-2014,"$275,000",1 diesel inboard,1990,44',12.6',4.11',New York,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Ericson ,08-Sep-2014,"$4,000",1 gas inboard,1974,26.75',9.0',3.92',California,fiberglass,monohull,cruiser,masthead sloop,0.0,good
Stuart Marine Rhodes19 C/B,07-Sep-2014,"$18,000",1 gas outboard,2005,19',7',4.5',Florida,fiberglass,monohull,daysailer,fractional sloop,1.0,excellent
s2 8.0,07-Sep-2014,"$4,900",1 gas outboard,1979,26',8',4',New York,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Neptune by Capital Yachts 16' Neptune,07-Sep-2014,"$3,000",1 other outboard,,16',6',4',Georgia,fiberglass,monohull,daysailer,other,1.0,
Pyramid Eagle,07-Sep-2014,"$7,500",1 gas outboard,1984,20',',',Georgia,fiberglass,trimaran,daysailer,,,
Catana 522,06-Sep-2014,"$748,000",2 diesel inboard,2005,52',28'2',4'5',South Carolina,fiberglass,catamaran,cruiser,masthead sloop,3.0,excellent
CAILLO SAILING KAYAK,06-Sep-2014,"$3,200", other inboard,2008,14',3',',Missouri,fiberglass,monohull,other,other,,excellent
PEARSON Wanderer,06-Sep-2014,"$6,400",1 gas inboard,1966,30',9',3',Missouri,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Pearson ,05-Sep-2014,"$5,000",1 gas outboard,1977,26',9',4',New Jersey,fiberglass,monohull,racer/cruiser,masthead sloop,,excellent
Jeanneau 409,05-Sep-2014,"$248,000",1 diesel inboard,2014,40',13',5',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,new
Catalina Yatchs Catalina 25,04-Sep-2014,"$7,000",1 gas outboard,1982,25',8',4',California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Catalina ,04-Sep-2014,"$14,500", other inboard,1981,27',',',California,fiberglass,monohull,cruiser,,,excellent
Ericson ,04-Sep-2014,"$8,900",1 diesel inboard,1977,27',9',4',New York,fiberglass,monohull,cruiser,masthead sloop,0.0,good
Islander 28,03-Sep-2014,"$14,500",1 diesel inboard,1985,28',9.83'',5.00'',Texas,fiberglass,monohull,cruiser,masthead sloop,1.0,good
o day gannet,03-Sep-2014,$800, other outboard,1962,14',',',Pennsylvania,fiberglass,monohull,daysailer,,,fair
Hunter 17,02-Sep-2014,"$3,200",,2005,17',6',1',New Jersey,fiberglass,monohull,daysailer,other,0.0,excellent
Renken Tangerine,02-Sep-2014,"$1,400", gas outboard,1984,18',6',4',Colorado,fiberglass,monohull,daysailer,,1.0,good
Catalina 27',02-Sep-2014,"$12,000",1 gas inboard,1974,27',8.83',4',Missouri,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Endeavour 40',02-Sep-2014,"$75,000",1 diesel inboard,1983,40',13',6',New York,fiberglass,monohull,other,schooner,2.0,excellent
Pearson 27,01-Sep-2014,"$27,500",1 diesel inboard,1988,27',9.1',2.7',California,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,excellent
Hunter Legend,01-Sep-2014,"$45,000",1 diesel inboard,1990,37.5',11',4.6',Outside United States,fiberglass,monohull,daysailer,masthead sloop,2.0,excellent
Hunter Legend,01-Sep-2014,"$125,000",1 diesel inboard,1996,40.5',13.5',4.5',Texas,fiberglass,monohull,cruiser,ketch,2.0,excellent
Precision 15K,31-Aug-2014,"$5,000",1 gas inboard,2006,15',7',"1'9""'",Wisconsin,fiberglass,monohull,daysailer,,,excellent
Hobie Getaway,31-Aug-2014,"$8,000", gas inboard,2002,16'',',',Maryland,fiberglass,catamaran,daysailer,,,good
Hunter 30,31-Aug-2014,"$15,900",1 diesel inboard,1981,30',11',5' 3',South Carolina,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Beneteau 323 Oceanis,31-Aug-2014,"$63,000",1 diesel inboard,2005,32'10',10'9',4'9',Texas,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
Hunter 18.5,31-Aug-2014,"$3,200",1 gas outboard,1980,18.5',7',2',Georgia,fiberglass,monohull,daysailer,fractional sloop,1.0,good
Seafarer 23,30-Aug-2014,"$4,700",1 gas outboard,1978,23',',3',Michigan,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Beneteau 331,29-Aug-2014,"$85,000",1 diesel inboard,2003,33',11',4'5',Florida,fiberglass,monohull,,,2.0,excellent
PEARSON COASTER,29-Aug-2014,"$12,500",1 gas inboard,1966,30',9.3',4.5',Missouri,fiberglass,monohull,cruiser,masthead sloop,2.0,good
MADER GERMANY STAR,29-Aug-2014,"$2,250",,1970,22'6',6',3',Missouri,fiberglass,monohull,racer,fractional sloop,,
Pearson 26,29-Aug-2014,"$5,000",1 gas outboard,1978,26',8.5',4',Florida,fiberglass,monohull,racer/cruiser,masthead sloop,,good
ORSINI wanda 50',29-Aug-2014,"$276,000",1 diesel inboard,1998,50',14',5.4',Outside United States,other,monohull,cruiser,ketch,2.0,excellent
O'Day ,29-Aug-2014,"$4,500",1 gas outboard,1981,23',7.92',2.26',Virginia,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
CHRIS CRAFT CAPRI,28-Aug-2014,"$1,500",0 other inboard,1964,30',10',4',Missouri,fiberglass,monohull,cruiser,masthead sloop,2.0,fair
Westerly Marine Super Cirrus,28-Aug-2014,"$7,200",1 gas outboard,1971,22',8',3.5',Wisconsin,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Hunter 35.5,28-Aug-2014,"$49,990",1 diesel inboard,1990,35',11'9',4'6',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
island packet 320,28-Aug-2014,"$100,000",1 diesel inboard,2000,33',10',4',Outside United States,fiberglass,monohull,cruiser,,2.0,good
Island Packet 44,27-Aug-2014,"$147,500",1 diesel inboard,1992,44',13.2',5.7',North Carolina,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Pearson Ensign,27-Aug-2014,"$7,000",1 gas outboard,1964,22.6',7',3',New York,fiberglass,monohull,racer/cruiser,,,excellent
Catalina 22,27-Aug-2014,"$6,500",1 gas outboard,1982,22',',',Washington,fiberglass,monohull,daysailer,,1.0,good
Hunter Marine 27,27-Aug-2014,"$18,500",1 diesel inboard,1990,26.58',9.00',3.50',New York,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Morgan Heritage,25-Aug-2014,"$80,000",1 diesel inboard,1978,37',13',3-7',Florida,fiberglass,monohull,racer/cruiser,ketch,3.0,good
O'Day 1977,25-Aug-2014,"$25,000",1 diesel inboard,1977,27.5',7.5',6',Outside United States,fiberglass,monohull,daysailer,masthead sloop,2.0,excellent
Lancer Yachts Lancer 29 Powersailer,25-Aug-2014,"$13,000",1 gas outboard,1985,28'9',9' 6',',California,fiberglass,monohull,cruiser,,1.0,good
Hinterhoeller Nonsuch,25-Aug-2014,"$38,000",1 diesel inboard,1984,30',12',5',Outside United States,fiberglass,monohull,cruiser,cat boat,2.0,excellent
ericson sailboat,24-Aug-2014,"$11,000",1 diesel inboard,1974,27',9',3'11',California,fiberglass,monohull,racer/cruiser,schooner,1.0,excellent
Hobie Bravo,24-Aug-2014,"$1,200",,2006,12',4.5',0.75',Washington,other,catamaran,cruiser,,0.0,good
 day sailer,23-Aug-2014,$950,1 other outboard,2013,9',4',1',Florida,fiberglass,monohull,daysailer,other,0.0,good
Tatyana Tatyana 36 Mk11,23-Aug-2014,"$50,000",1 diesel inboard,1982,36',11 1',"5' 8""'",Texas,fiberglass,monohull,cruiser,cutter,2.0,excellent
Ericson 27,23-Aug-2014,"$3,000", gas inboard,1978,27',9',4',Rhode Island,fiberglass,monohull,cruiser,,,fair
Annisquam Cat Boat Fish Class - Montgomery's Fish,23-Aug-2014,"$5,995", gas inboard,1940,17',',',Maine,wood,monohull,daysailer,cat boat,,excellent
Catalina 36 TALL RIG,22-Aug-2014,"$27,900",1 diesel inboard,1985,36'3',11'9',5'10',New Jersey,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hotfoot Hotfoot 27,21-Aug-2014,"$13,995", gas outboard,1983,27',',',Washington,fiberglass,monohull,racer/cruiser,fractional sloop,,excellent
Verne Randall Herrshoffe H28 117,21-Aug-2014,"$10,000",0 gas inboard,1961,28',',3.5',Outside United States,wood,monohull,daysailer,ketch,,good
catalina c22,21-Aug-2014,"$5,000",1 gas outboard,1976,22',8',6',Florida,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Catalina Yachts California 38 Offshore,21-Aug-2014,"$25,000",1 diesel inboard,1989,38',11.9',6.9',Outside United States,fiberglass,monohull,racer,other,,good
O'Day 25,21-Aug-2014,"$2,900",1 gas outboard,1982,25',8',2.25',New Jersey,fiberglass,monohull,cruiser,masthead sloop,1.0,good
O'day 34',20-Aug-2014,"$17,500",1 diesel inboard,1983,34'',11'3',4' 3',Pennsylvania,fiberglass,monohull,cruiser,fractional sloop,2.0,good
Sparkman and Stephens Gulfstream 36 Derecktor built,20-Aug-2014,"$30,000",1 diesel inboard,1955,36',10',9',Maryland,wood,monohull,cruiser,,3.0,excellent
Morgan M 27,20-Aug-2014,"$4,695",1 gas outboard,,27.50',9.83',4.50',Maine,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Bayfield 32c,20-Aug-2014,"$15,000",1 diesel inboard,1981,32',10',4',Outside United States,fiberglass,monohull,cruiser,cutter,1.0,good
Yankee Yachts Yankee 30,20-Aug-2014,"$20,000",1 diesel inboard,1971,29.98',9',5',Texas,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Pearson P 35,19-Aug-2014,"$18,900",1 diesel inboard,1977,35',10',7'6',Massachusetts,fiberglass,monohull,cruiser,,1.0,
Chrysler C-22 Sandpiper,18-Aug-2014,"$6,000", gas outboard,1979,22',8',2-5'',Wisconsin,fiberglass,monohull,daysailer,masthead sloop,,good
DART DART 20,18-Aug-2014,"$3,900",,2000,20',8',1',Outside United States,fiberglass,catamaran,daysailer,,,good
Winderrider Rave,17-Aug-2014,"$4,000", gas inboard,1994,17',17',1-4',Missouri,fiberglass,trimaran,racer,,,excellent
Hunter 216,17-Aug-2014,"$7,200",1 gas outboard,2005,21.5',8',3.6',Michigan,other,monohull,daysailer,fractional sloop,,good
Hood - Naugus 30' Sloop,17-Aug-2014,"$10,000",1 diesel inboard,1967,30',9.2',4.6',Connecticut,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Jeanneau Sun Odyssey 50 DS,16-Aug-2014,"$429,000",1 diesel inboard,2011,48'5',14'8',5'6',South Carolina,fiberglass,monohull,cruiser,masthead sloop,,excellent
Hunter DS,15-Aug-2014,"$179,000",1 diesel inboard,2006,41',13.3',5.9',Washington,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Hunter 30 Sold,15-Aug-2014,"$6,900",1 diesel inboard,1978,30',10',5'3',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Luscher Looping 56,15-Aug-2014,"$460,000",2 diesel inboard,2006,56',22',4',,composite,catamaran,cruiser,fractional sloop,4.0,excellent
MacGregor Venture,14-Aug-2014,$600,0  outboard,1972,22',',',Wyoming,fiberglass,monohull,cruiser,,1.0,fair
Capital Yachts Newport 30 Mark 3,13-Aug-2014,"$22,000",1 diesel inboard,1986,30',10.67',5.17',California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Catalina Capri,10-Nov-2014,"$6,000",1 gas outboard,84,25'',9'',4'6',Connecticut,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
1972 MORGAN,10-Nov-2014,"$5,000",1 gas outboard,1972,27',10',5',Florida,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
McLaughlin Snipe,09-Nov-2014,"$2,500",,1984,15',',',Michigan,fiberglass,monohull,racer,,,excellent
Catalina 22,07-Nov-2014,"$6,200",1 gas outboard,1987,22',7.67',3.5',Florida,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Catalina 22,07-Nov-2014,"$3,400",1 gas outboard,1974,22',7' 8',5',California,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Catalina Yachts C30,06-Nov-2014,"$34,900",1 gas inboard,1983,30',10'10',5',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Melges C-Scow,06-Nov-2014,"$1,500",,1982,20',8',',Minnesota,fiberglass,monohull,cruiser,cat boat,,
Fountaine Pajot Salina Fractional Ownership,06-Nov-2014,"$300,000",2 diesel inboard,2008,48',26',4.5',Outside United States,fiberglass,catamaran,cruiser,fractional sloop,4.0,excellent
pier yacht 41m schooner,06-Nov-2014,"$4,500,000",2 diesel inboard,,130',',',Outside United States,steel,monohull,motorsailer,schooner,5.0,new
Pearson 28,05-Nov-2014,"$9,900",1 gas inboard,1978,28',9'3',5'',Maryland,fiberglass,monohull,cruiser,,1.0,good
Tanzer ,04-Nov-2014,"$2,950", gas outboard,1974,22',',',Ohio,fiberglass,monohull,daysailer,,1.0,good
catalina 445,04-Nov-2014,"$315,900",1 diesel inboard,2011,44.5',13.7',6.1',New York,fiberglass,monohull,racer/cruiser,masthead sloop,3.0,excellent
Bluewater Ingrid,04-Nov-2014,"$28,000",1 diesel inboard,,38',',6',Washington,fiberglass,monohull,cruiser,cutter,2.0,good
Jeanneau 49 DS,03-Nov-2014,"$260,000",1 diesel inboard,2005,49',14'9',7'1',Outside United States,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
HUNTER PASSAGE,03-Nov-2014,"$115,500",1 diesel inboard,1999,45',14',6',Kentucky,fiberglass,monohull,motorsailer,ketch,2.0,excellent
Hunter 30 Foot Tall Rig,02-Nov-2014,"$30,000",1 diesel inboard,1989,30',11',4-3',Illinois,fiberglass,monohull,cruiser,,1.0,good
Catalina Capri,02-Nov-2014,"$12,500", gas outboard,2001,22',8'6',3',Wisconsin,fiberglass,monohull,racer/cruiser,fractional sloop,,excellent
catalina catalina 34,02-Nov-2014,"$35,000",1 diesel inboard,1988,34',11',6',Illinois,fiberglass,monohull,cruiser,masthead sloop,,excellent
erickson ,02-Nov-2014,"$29,998",1 diesel inboard,1982,36',12',6'6''',Texas,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
merit merit 23,01-Nov-2014,"$2,600",1 gas outboard,1985,22',',',Arkansas,fiberglass,monohull,cruiser,masthead sloop,1.0,fair
Fairways Marine Fisher 30,31-Oct-2014,"$42,000",1 diesel inboard,1976,30',10',4',Maryland,fiberglass,monohull,motorsailer,ketch,3.0,
Islander MK II,31-Oct-2014,"$12,000",1 diesel inboard,1976,30',10',4',California,fiberglass,monohull,cruiser,masthead sloop,2.0,good
com-pac sweet 16,29-Oct-2014,"$4,500",1 gas outboard,1974,16',6',1.5',Mississippi,fiberglass,monohull,cruiser,other,1.0,good
hunter 28.5,29-Oct-2014,"$18,900",1 diesel inboard,1986,29'',10'5',4'2',New Jersey,fiberglass,monohull,cruiser,masthead sloop,4.0,good
Pierson ,29-Oct-2014,"$3,499",1 gas inboard,1968,27',',4.5',Michigan,fiberglass,monohull,cruiser,,1.0,project boat
coronado deep keel cruiser,28-Oct-2014,"$2,400",1 gas outboard,1979,22',8',3',Washington,fiberglass,monohull,daysailer,masthead sloop,1.0,good
Dyer Dhow sailing dinghy,28-Oct-2014,"$2,650",,2002,8',4',05',Connecticut,fiberglass,monohull,dinghy,other,0.0,excellent
CSY 44 Center Cockpit Cutter,28-Oct-2014,"$79,900",1 diesel inboard,1978,44',13' 2',6' 2',Hawaii,fiberglass,monohull,cruiser,cutter,2.0,good
Catalina 27,28-Oct-2014,"$13,900",1 diesel inboard,1985,27',8'10',3'5',New Jersey,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Cal T/2,27-Oct-2014,"$4,000", gas outboard,1974,28',9',4.5',North Carolina,fiberglass,monohull,racer/cruiser,,,
Mac Gregor 36 catamaran,26-Oct-2014,"$32,000",1 gas inboard,1978,36',18',2',California,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,excellent
Schock Santana,25-Oct-2014,"$12,000",1 diesel inboard,73,27',9.5',4.5',California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Bayfield Bayfield,24-Oct-2014,"$10,000",1 diesel inboard,1985,25',8',"2'11""'",Massachusetts,fiberglass,monohull,cruiser,masthead sloop,1.0,good
BOSTON WHALER 13 SPORT,23-Oct-2014,"$6,800",1 gas outboard,1986,13',',',Florida,fiberglass,,dinghy,,,excellent
Island Packet 26' MKII Full Keel,23-Oct-2014,"$24,500",1 diesel inboard,1984,26',10.5',3.75',Florida,fiberglass,monohull,cruiser,masthead sloop,0.0,good
Stevens homebuilt weekender,23-Oct-2014,$900, gas outboard,,19',',',Massachusetts,wood,monohull,cruiser,other,,project boat
Ranger Yachts Ranger 26,23-Oct-2014,"$3,500", gas outboard,,26',8.5',4.3',Massachusetts,fiberglass,monohull,cruiser,masthead sloop,,excellent
Cherubini RAIDER,23-Oct-2014,"$14,000",1 diesel inboard,1982,33',',',Virginia,fiberglass,monohull,racer/cruiser,,,good
Jachtbouw Nienke 2,23-Oct-2014,"$22,000",1 diesel inboard,1968,30',7',4',Outside United States,steel,monohull,motorsailer,ketch,2.0,excellent
Corsair Marine 28 CC,23-Oct-2014,"$68,000",1 gas outboard,2006,28',19.75',4.9',California,fiberglass,trimaran,racer/cruiser,fractional sloop,2.0,excellent
Paceship Seagull,22-Oct-2014,"$1,700",,1965,16',',3',Georgia,fiberglass,monohull,daysailer,other,1.0,excellent
O'Day O'Day 23,21-Oct-2014,"$4,500",1 gas outboard,1980,23',7.92',5.33',Outside United States,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Ericson 25,21-Oct-2014,"$5,900",2 diesel inboard,1979,25.5',9'3',4'11',California,fiberglass,monohull,cruiser,fractional sloop,0.0,good
Catalina 310,20-Oct-2014,"$75,000",1 diesel inboard,2000,31',11.5',5.7',California,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
CATALINA C-22,20-Oct-2014,"$5,400",1 gas outboard,1983,22',8',5'-0',Illinois,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Catalina 22,20-Oct-2014,"$7,500",1 gas outboard,1980,22',8',3.5',South Carolina,fiberglass,monohull,cruiser,,1.0,good
Endeavour32 ,20-Oct-2014,"$15,000",1 diesel inboard,1979,32',10',4',Texas,fiberglass,monohull,motorsailer,schooner,2.0,excellent
Tayana cutter,20-Oct-2014,"$30,000",1 diesel inboard,1983,37',',',Outside United States,fiberglass,monohull,cruiser,cutter,,good
Watkins 25,19-Oct-2014,"$4,000",1 diesel inboard,1988,25',10',2.5',Texas,fiberglass,monohull,cruiser,masthead sloop,1.0,project boat
Tanzer 26 Tanzer 26,19-Oct-2014,"$8,200",1 gas outboard,1981,26'4',8'8',3'10',Outside United States,fiberglass,monohull,other,masthead sloop,1.0,good
Partiere del Pardo Italy Grand Soleil 46,19-Oct-2014,"$119,000",1 diesel inboard,1988,46',13',7',Outside United States,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Whitby Boatworks Alberg 30,19-Oct-2014,"$11,500",1 diesel inboard,1971,30',8'9',4'3',Maryland,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
merit 22,18-Oct-2014,"$4,000",1 gas outboard,1985,22',',',Arkansas,fiberglass,monohull,racer,masthead sloop,1.0,fair
Hitchins Com-pac Yact,17-Oct-2014,"$2,000",0 gas outboard,1981,16',',',Florida,fiberglass,monohull,other,other,1.0,fair
CANADIAN MARK MARK IV,17-Oct-2014,"$2,500",1 gas outboard,1983,25',9.6',4',Maryland,fiberglass,monohull,daysailer,cutter,1.0,good
laser standard,17-Oct-2014,"$1,600", other inboard,1983,14',',',New Hampshire,fiberglass,monohull,racer,,,excellent
Alberg 30,17-Oct-2014,"$3,365",1 gas inboard,68,30',8.5',5.5',Maryland,fiberglass,monohull,cruiser,fractional sloop,2.0,project boat
Island Packet 29,16-Oct-2014,"$68,500",1 diesel inboard,1992,29',10.10',4.3',North Carolina,fiberglass,monohull,cruiser,,2.0,excellent
Golif Golif,15-Oct-2014,"$4,000",1 gas outboard,1968,21',6',7',Maryland,fiberglass,monohull,daysailer,fractional sloop,1.0,fair
Newport Mark III,15-Oct-2014,"$19,900",1 diesel inboard,1987,30',10'8',4'0',North Carolina,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Fulmar 19 Trimaran,14-Oct-2014,"$7,500",,1998,19',11',1.5',California,fiberglass,trimaran,daysailer,other,,excellent
CAPRI CAPRI 25,14-Oct-2014,"$4,500",1 gas outboard,1985,25',8',4.2',Florida,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
Fortuna 9 Fortuna 9,13-Oct-2014,"$24,900",1 diesel inboard,1993,30',10',',Outside United States,fiberglass,monohull,cruiser,other,2.0,good
Columbia 24 Challenger restored,13-Oct-2014,"$4,800", gas outboard,1963,24',8',3',California,fiberglass,monohull,cruiser,,,excellent
o'day sailboat,13-Oct-2014,"$21,777",1 diesel inboard,1980,30',11',',California,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Catalina 25 Tall Rig,13-Oct-2014,"$8,600", gas outboard,1980,25',8',3',Tennessee,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Performance Cruising Inc Gemini 105Mc,13-Oct-2014,"$115,000",1 diesel inboard,2004,33.5',14',2',Outside United States,fiberglass,catamaran,cruiser,fractional sloop,3.0,good
Catalina 34,13-Oct-2014,"$37,000",1 diesel inboard,1988,34',12',6',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Cape Dory Typhoon Senior,12-Oct-2014,"$11,000",1 gas outboard,1987,22',7'5',3'1',Massachusetts,fiberglass,monohull,cruiser,fractional sloop,1.0,excellent
Private Construction Ganley Snowbird,12-Oct-2014,"$6,000",,1980,31',',',California,steel,monohull,cruiser,masthead sloop,1.0,project boat
Seafarer Sail/Cruiser,11-Oct-2014,"$3,500", gas inboard,1983,26'',8.3',3.9',New Hampshire,fiberglass,monohull,other,,,good
Catalina Catalina 27 Fin Keel,10-Oct-2014,$995,0 gas outboard,1972,27',8.8',4',Rhode Island,fiberglass,monohull,cruiser,other,1.0,good
MacGregor 26 M,09-Oct-2014,"$26,500",1 gas outboard,2006,26',7'9',12',Arizona,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Catalina Capri 30,08-Oct-2014,"$6,000",1 gas outboard,1984,30',11',5'4',North Carolina,fiberglass,monohull,racer/cruiser,masthead sloop,,good
Hobie Cat 21,08-Oct-2014,"$7,000",,1979,21',21',',Indiana,fiberglass,catamaran,other,cat boat,0.0,excellent
