,posted_at,Asking,Year,Length,Beam,Draft,Location,Material,Type,Cabins,Is_Mono,Is_cruiser,Is_daysailer,Is_Diesel,Motor_Type,Engine_Count,Is_Fiberglass,Is_masthead_sloop,Is_Cutter,Is_Ketch,Is_Excellent,Is_Fair,Is_Good,Is_Project_boat,Is_Inboard,Year_Listed,Asking_Price_Adj
159,2013-10-08,69500.0,1981,36.0,11.6,4.6,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2013,80840.73455616274
160,2013-10-08,900.0,2005,8.6,4.6,0.5,Florida,fiberglass,dinghy,0.0,1,0,0,0,motorless,0,1,0,0,0,1,0,0,0,0,2013,1046.858433101388
161,2013-10-07,78500.0,2005,38.0,12.0,4.1,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2013,91309.31888717662
162,2013-10-07,5200.0,1977,25.0,8.0,4.0,Maryland,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,0,0,1,0,0,0,0,2013,6048.515391252464
165,2013-10-05,4500.0,1978,22.0,9.0,2.5,Connecticut,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,0,0,1,0,0,2013,5234.29216550694
166,2013-10-05,159000.0,2005,47.0,14.2,6.11,New York,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2013,184944.98984791187
167,2013-10-04,349000.0,2008,41.3,13.6,5.4,Rhode Island,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2013,405948.43683598266
170,2013-10-03,5000.0,1972,22.0,8.0,1.75,New Jersey,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,1,0,0,0,0,2013,5815.8801838966
171,2013-10-03,10500.0,1994,21.0,8.2,3.6,Ohio,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,0,0,1,0,0,0,0,2013,12213.34838618286
176,2013-09-30,495000.0,2011,53.0,15.7,5.11,Maryland,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2013,575772.1382057634
178,2013-09-30,65000.0,2005,32.0,9.5,5.0,California,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2013,75606.4423906558
179,2013-09-29,17500.0,1980,28.0,11.0,4.5,Maine,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,0,0,1,2013,20355.580643638103
180,2013-09-29,25000.0,1976,32.0,10.58,4.8,Outside United States,fiberglass,motorsailer,2.0,1,0,0,1,inboard,1,1,1,0,0,0,0,0,0,1,2013,29079.400919483
183,2013-09-25,8000.0,1969,27.0,10.0,5.0,New York,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,0,0,1,2013,9305.40829423456
190,2013-09-19,11000.0,1970,30.0,10.0,4.5,New York,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2013,12794.93640457252
193,2013-09-19,7000.0,1984,25.0,8.0,3.0,Florida,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,0,1,0,1,0,0,0,0,2013,8142.23225745524
195,2013-09-18,2850.0,2007,17.0,6.0,0.0,Washington,fiberglass,daysailer,0.0,1,0,1,0,motorless,0,1,0,0,0,1,0,0,0,0,2013,3315.051704821062
197,2013-09-17,5000.0,1981,17.0,8.0,2.5,Maryland,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,0,0,0,0,0,0,0,2013,5815.8801838966
198,2013-09-17,3300.0,2000,21.0,8.0,2.0,Massachusetts,composite,daysailer,1.0,1,0,1,0,motorless,0,0,0,0,0,0,0,1,0,0,2013,3838.480921371756
199,2013-09-17,25500.0,1973,32.5,10.0,4.0,Texas,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,1,0,0,0,0,0,0,1,2013,29660.98893787266
200,2013-09-16,12000.0,1972,30.0,9.0,5.0,South Carolina,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2013,13958.11244135184
201,2013-09-16,3900.0,1978,25.0,7.8,3.4,New Jersey,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,0,0,1,0,0,2013,4536.386543439347
203,2013-09-16,13000.0,1980,24.0,9.0,4.0,North Carolina,fiberglass,racer,1.0,1,0,0,0,outboard,1,1,0,0,0,1,0,0,0,0,2013,15121.28847813116
205,2013-09-15,142500.0,2001,41.7,13.0,5.7,Wisconsin,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2013,165752.5852410531
209,2013-09-13,4500.0,1983,25.0,8.0,3.9,Connecticut,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,1,0,0,1,0,0,0,0,2013,5234.29216550694
211,2013-09-11,5500.0,1983,18.0,6.33,2.0,Wisconsin,fiberglass,cruiser,1.0,1,1,0,0,outboard,1,1,0,0,0,1,0,0,0,0,2013,6397.46820228626
213,2013-09-10,2000.0,2012,11.0,5.0,2.0,Ohio,fiberglass,daysailer,0.0,1,0,1,0,outboard,1,1,1,0,0,0,0,0,0,0,2013,2326.35207355864
214,2013-09-09,59500.0,1996,36.0,11.11,5.1,Arkansas,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,0,0,1,2013,69208.97418836954
215,2013-09-09,15000.0,1981,28.0,9.0,5.0,Rhode Island,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2013,17447.640551689798
217,2022-05-04,6500.0,1983,27.0,9.0,4.0,Arizona,fiberglass,daysailer,1.0,1,0,1,1,inboard,1,1,1,0,0,0,0,1,0,1,2022,6500.0
218,2022-05-03,148000.0,1972,52.0,15.0,6.0,Outside United States,steel,cruiser,4.0,1,1,0,1,inboard,1,0,0,0,1,0,0,1,0,1,2022,148000.0
220,2022-05-04,19900.0,1987,36.5,11.9,5.1,Outside United States,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,1,0,0,0,1,2022,19900.0
221,2022-05-04,7000.0,1976,23.0,7.17,5.5,Georgia,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,0,1,0,1,0,0,0,0,2022,7000.0
222,2022-05-04,55000.0,1985,36.0,11.8,6.3,Connecticut,fiberglass,racer,3.0,1,0,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2022,55000.0
224,2022-05-03,19000.0,78,30.0,9.5,4.25,Florida,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,0,1,1,0,0,0,1,2022,19000.0
225,2022-05-19,399000.0,2021,38.0,12.5,4.0,Florida,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,0,0,1,0,0,0,1,2022,399000.0
226,2022-05-02,90000.0,1990,47.0,13.5,6.5,Outside United States,fiberglass,cruiser,3.0,1,1,0,1,inboard,1,1,0,1,0,0,0,1,0,1,2022,90000.0
228,2022-05-09,5500.0,1985,22.0,8.0,1.5,Connecticut,fiberglass,daysailer,1.0,1,0,1,0,outboard,1,1,1,0,0,0,0,1,0,0,2022,5500.0
229,2022-05-02,34000.0,1978,37.0,11.93,4.9,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2022,34000.0
231,2022-05-03,8500.0,1974,33.0,11.0,5.9,Florida,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,0,0,0,0,0,1,0,1,2022,8500.0
232,2022-05-02,24900.0,1975,31.0,9.5,4.6,Connecticut,fiberglass,cruiser,1.0,1,1,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2022,24900.0
233,2022-05-02,42000.0,1979,40.0,13.0,6.8,Maine,fiberglass,racer,3.0,1,0,0,1,inboard,1,1,1,0,0,0,0,0,0,1,2022,42000.0
234,2022-05-02,499000.0,2010,55.45,26.9,3.94,Outside United States,composite,cruiser,3.0,0,1,0,1,inboard,2,0,0,0,0,1,0,0,0,1,2022,499000.0
235,2022-05-02,400000.0,1998,50.0,38.4,2.3,Outside United States,composite,cruiser,3.0,0,1,0,1,inboard,1,0,0,0,0,1,0,0,0,1,2022,400000.0
236,2022-05-02,49000.0,1980,39.0,113.0,6.0,Outside United States,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,0,1,0,1,0,0,0,1,2022,49000.0
237,2022-05-01,19500.0,1990,42.0,12.0,4.0,Outside United States,steel,cruiser,2.0,1,1,0,1,inboard,1,0,0,0,0,0,1,0,0,1,2022,19500.0
238,2022-05-02,14200.0,1981,36.0,11.76,6.6,Washington,fiberglass,racer,1.0,1,0,0,1,inboard,1,1,0,0,0,0,1,0,0,1,2022,14200.0
240,2022-05-02,39500.0,1991,34.5,11.9,4.2,Florida,fiberglass,cruiser,2.0,1,1,0,1,inboard,1,1,1,0,0,0,0,1,0,1,2022,39500.0
