,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
207,O'Day Corp O'Day 322,24-May-2022,1987,32',10.7',4.2',New York,"$16,500",fiberglass,monohull,cruiser,masthead sloop,3,good
208,Bristol 27,23-May-2022,1976,27',8',4',Massachusetts,"$7,500",fiberglass,monohull,cruiser,,,excellent
209,robertson &amp; caine leopard,23-May-2022,2006,42',22',4',Outside United States,"$285,000",fiberglass,catamaran,cruiser,cat boat,4,excellent
210,Flying Scot Flying Scot,24-May-2022,1995,19',6.75',0.66',Maine,"$8,700",fiberglass,monohull,daysailer,fractional sloop,,excellent
211,Morgan 383,23-May-2022,1983,38',12',5',Connecticut,"$39,990",fiberglass,monohull,cruiser,masthead sloop,2,good
212,Beneteau Oceanis 281,23-May-2022,1997,28.5',9.5',4.5',Florida,"$35,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
213,C&amp;C 38,23-May-2022,1985,38',12',5',Florida,"$38,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
214,Contessa 39,23-May-2022,1981,39',12.5',7.5',Washington,"$52,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
215,S2 7.9,23-May-2022,1982,25'11',9',',New York,"$8,000",fiberglass,monohull,racer/cruiser,fractional sloop,1,excellent
216,Mirage 5.5,25-May-2022,1981,20',8',1.3',New Jersey,"$3,950",fiberglass,monohull,cruiser,masthead sloop,0,good
217,hunter 28.5,22-May-2022,1991,"28'5""'","10'6""'",4.0',Michigan,"$13,500",fiberglass,monohull,cruiser,fractional sloop,2,excellent
218,Dickerson 37,22-May-2022,1985,40',11.5',5',Rhode Island,"$49,000",fiberglass,monohull,cruiser,ketch,2,excellent
219,Morgan 30,22-May-2022,1970,29'11',9'3',3'6',Maine,"$12,500",fiberglass,monohull,cruiser,masthead sloop,,
220,SailboatTrailer Oday,22-May-2022,1977,25',',2.3',New Jersey,"$4,000",fiberglass,monohull,cruiser,masthead sloop,,
221,Hobie Wave,21-May-2022,2008,13',7',2',New York,"$4,000",composite,catamaran,other,cat boat,,good
222,Catalina 30,21-May-2022,1987,30',',3.9',Virginia,"$15,000",fiberglass,monohull,cruiser,fractional sloop,1,good
223,Hunter 290,21-May-2022,2001,29',10'9',3',New Jersey,"$34,500",fiberglass,monohull,cruiser,fractional sloop,,good
224,Lancer 30,20-May-2022,1979,29',10',5',New York,"$12,000",fiberglass,monohull,cruiser,masthead sloop,2,good
225,S2 8.5,21-May-2022,1981,28',9.6',4.6',Ohio,"$2,500",fiberglass,monohull,cruiser,masthead sloop,0,good
226,Tartan 34-2,20-May-2022,1988,34',11',5',Florida,"$20,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
227,Tremolino Boat Company Tremolino II Trimaran,21-May-2022,1986,23',',1-4',Maryland,"$6,500",fiberglass,monohull,daysailer,fractional sloop,2,good
228,TPI Freedom 29,20-May-2022,1986,29.0',10.8',5.5',New York,"$16,000",fiberglass,monohull,daysailer,cat boat,2,good
229,Hunter 320,21-May-2022,2001,32',10.8',5',Florida,"$46,000",fiberglass,monohull,cruiser,schooner,2,excellent
230,MacGregor 26s,19-May-2022,1991,26',',',Arizona,"$9,900",fiberglass,monohull,,,,excellent
231,Watkins Seawolf 25,20-May-2022,1987,25',8',4',Illinois,"$6,000",fiberglass,monohull,daysailer,schooner,1,good
232,Herreshoff Rozinante,19-May-2022,1966,28',6.5',3.75',Maine,"$39,900",fiberglass,monohull,daysailer,yawl,,excellent
233,TB TB 46,19-May-2022,1985,46',28',4',California,"$149,000",composite,trimaran,cruiser,fractional sloop,2,excellent
234,Kelt 7.6,20-May-2022,1985,25',9.5',4' 3',Minnesota,"$9,000",fiberglass,monohull,cruiser,masthead sloop,1,good
235,Farrier F9A,20-May-2022,1992,31',22'5',5'6',California,"$59,000",fiberglass,trimaran,racer/cruiser,fractional sloop,2,excellent
236,J Boats J22,19-May-2022,1986,22.5',8',3.8',Connecticut,"$11,500",fiberglass,monohull,racer/cruiser,fractional sloop,1,excellent
237,Sabre Sabre 28,27-Jul-2018,1977,28',9',4',New York,"$21,000",fiberglass,monohull,cruiser,fractional sloop,1,good
238,Macgregor ,26-Jul-2018,,25',7',5',Georgia,"$5,000",fiberglass,monohull,cruiser,,1,excellent
239,Pearson Swing Keel,26-Jul-2018,1978,23',8',2'4',Washington,"$7,000",fiberglass,monohull,cruiser,,,excellent
240,Cabo Rico Pilothouse Cutter 42,26-Jul-2018,2003,42',12.8',5.3',Washington,"$385,000",fiberglass,monohull,cruiser,cutter,2,excellent
241,Cheoy lee Frisco Flyer,26-Jul-2018,1968,26',7.17',3.90',Washington,"$7,900",fiberglass,monohull,cruiser,masthead sloop,2,good
242,Columbia 43 foot sloop,26-Jul-2018,1970,43',12',7',Michigan,"$43,000",fiberglass,monohull,motorsailer,masthead sloop,2,good
243,Rawson 30 PH,26-Jul-2018,1961,32',9',5',California,"$18,000",fiberglass,monohull,motorsailer,masthead sloop,1,excellent
244, 29er,25-Jul-2018,1998,14.4',5' 7',',Connecticut,"$3,200",fiberglass,monohull,racer,fractional sloop,,excellent
245,Pearson Vanguard,25-Jul-2018,1964,32',9.5',4.5',South Carolina,"$6,000",fiberglass,monohull,cruiser,masthead sloop,,good
246,Cape Cod Shipbuilding Co Bull's Eye Sloop,25-Jul-2018,2013,15',6',2',New Hampshire,"$18,000",fiberglass,monohull,daysailer,fractional sloop,0,excellent
247,catalina 30,25-Jul-2018,1975,30',10',"5' 6""'",Connecticut,"$14,500",fiberglass,monohull,cruiser,masthead sloop,1,good
248,Marshall Catboat Marshall 22,25-Jul-2018,1985,22',10',2',Florida,"$18,000",fiberglass,monohull,cruiser,,1,good
249,O'Day 22,24-Jul-2018,1973,22'',7'2',2'',New York,"$1,400",fiberglass,monohull,daysailer,masthead sloop,2,good
250,alubat ovni 385,24-Jul-2018,2001,40',12.7',6.8',Outside United States,"$160,000",aluminum,monohull,cruiser,,2,good
251,HUNTER John Cherubini,24-Jul-2018,1978,33',10.5',5.5',New Hampshire,"$16,500",fiberglass,monohull,cruiser,masthead sloop,1,good
252,O'Day Day Sailer II,24-Jul-2018,1978,17',6.25',.68',New York,"$3,495",fiberglass,monohull,daysailer,masthead sloop,,excellent
253,Percision Precision 21,23-Jul-2018,2003,21',8',2',North Dakota,"$14,000",fiberglass,monohull,cruiser,,1,
254,catalina tall boy,23-Jul-2018,1978,30',10',5.8',Massachusetts,"$4,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
255,Pearson Commander,23-Jul-2018,1965,26',',4'10',Minnesota,"$15,500",fiberglass,monohull,daysailer,masthead sloop,1,excellent
256,Catalina 25,23-Jul-2018,1980,25',8',3',New York,"$8,500",fiberglass,monohull,cruiser,masthead sloop,1,excellent
257, Seafarer 38,23-Jul-2018,1978,38',10'6',4'6',Ohio,"$19,000",fiberglass,monohull,cruiser,masthead sloop,2,good
258,S-2 S-2 9.1,23-Jul-2018,1984,30',10.5',5.5',Florida,"$20,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
259, Beachcomber Alpha Dory,23-Jul-2018,1996,21',',',Tennessee,"$6,000",wood,monohull,daysailer,,,good
260,Catalina 25,23-Jul-2018,2008,25',',',Connecticut,"$21,000",fiberglass,monohull,cruiser,,,excellent
261,J-boats 24,23-Jul-2018,1979,24',',',Florida,"$7,800",fiberglass,monohull,cruiser,masthead sloop,1,good
262,Vanguard Nomad 17,23-Jul-2018,2008,17',',',Maryland,"$6,000",fiberglass,monohull,dinghy,other,,excellent
263,catalina 27,23-Jul-2018,1987,27',9'',4.5'',Indiana,"$8,500",fiberglass,monohull,cruiser,masthead sloop,2,good
264,Hunter 31,23-Jul-2018,1983,31',10.92',5' 3',Texas,"$14,900",fiberglass,monohull,cruiser,masthead sloop,1,good
265,Hunter 27,23-Jul-2018,1982,27',',4.5',New York,"$5,000",fiberglass,monohull,cruiser,other,0,good
266,Bayfield 29,22-Jul-2018,1980,29',10',3.5',Wisconsin,"$15,995",fiberglass,monohull,cruiser,cutter,1,excellent
267,Catalina 36 MK II,21-Jul-2018,1995,36',11.5',4.4',Indiana,"$75,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
268,HUNTER POP TOP,21-Jul-2018,1976,25',8',4',Maryland,"$2,200",fiberglass,monohull,cruiser,masthead sloop,2,good
269,Tanzer 22,21-Jul-2018,1983,22',8',3.5',Maryland,"$3,000",fiberglass,monohull,cruiser,,1,good
270,Seaward 26 RK,20-Jul-2018,2008,26',',',California,"$57,900",fiberglass,monohull,cruiser,,,excellent
271,AMF Trac 16,19-Jul-2018,1983,16',8',.75',Pennsylvania,$750,fiberglass,catamaran,other,fractional sloop,,good
272, Hardin 45,19-Jul-2018,1981,45',13',5.5',California,"$49,000",fiberglass,monohull,cruiser,ketch,,good
273,C&amp;C 26,19-Jul-2018,1978,26',10',5',Outside United States,"$10,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
274,Woodwind Catamaran,19-Jul-2018,1999,65',32',5' 6',Florida,"$850,000",fiberglass,monohull,cruiser,masthead sloop,6,good
275,Beneteau Beneteau 440 3 Cabin version,19-Jul-2018,1996,44',13',6',Outside United States,"$80,000",fiberglass,monohull,cruiser,masthead sloop,3,fair
276,Maple Leaf Pilot House,19-Jul-2018,1983,60',14' 9',6' 3',Florida,"$274,900",fiberglass,monohull,cruiser,,3,good
277,Pearson  USA J 35,19-Jul-2018,1984,35',11.8',6.9',Rhode Island,"$18,500",fiberglass,monohull,racer,other,1,excellent
278,Hunter Cherubini 37 Cutter,19-Jul-2018,1980,37',12',5',New York,"$28,000",fiberglass,monohull,cruiser,cutter,2,excellent
279,Catalina C 27,19-Jul-2018,1971,26.8',8.10',4',New York,$800,fiberglass,monohull,cruiser,masthead sloop,1,fair
280,Catalina 30,18-Jul-2018,1981,32',11',5'5',Washington,"$29,900",fiberglass,monohull,cruiser,,,excellent
281,Pearson 34,18-Jul-2018,1984,34',11',5.11',Michigan,"$25,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
282,Catalina Catalina 30,18-Jul-2018,1984,30',',',Maine,"$9,000",fiberglass,monohull,motorsailer,,2,excellent
283,West Wight Potter 19,18-Jul-2018,,19',',',Minnesota,"$9,500",fiberglass,monohull,cruiser,,,excellent
284,Jeanneau Sun Odyssey 49 DS,18-Jul-2018,2006,49'2',14'9',7'1',Florida,$,fiberglass,monohull,cruiser,masthead sloop,3,excellent
285,Ericson 32,17-Jul-2018,1972,32',',',California,"$20,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,excellent
286,Beneteau 523,17-Jul-2018,2006,52',16',',California,"$340,000",fiberglass,monohull,cruiser,fractional sloop,3,
287,Dyer Dhow Midget,17-Jul-2018,1980,7.92',4.08',3.0',Connecticut,"$1,000",fiberglass,monohull,dinghy,cat boat,,fair
288,Chesapeake Light Craft CLC Southwestern Dory,17-Jul-2018,2017,18',62',3',Florida,"$12,500",fiberglass,monohull,daysailer,,,excellent
289,Crawford Melonseed Melonseed Skiff,17-Jul-2018,1994,13',4',1',Virginia,"$4,000",fiberglass,monohull,daysailer,other,,
290,Pearson Ensign,17-Jul-2018,1965,23',7',3',Maine,"$14,500",fiberglass,monohull,daysailer,schooner,,excellent
291,Catalina 350,16-Jul-2018,2004,35',13',4.5',Florida,"$95,000",fiberglass,monohull,cruiser,other,2,excellent
292,San Juan 7.7,16-Jul-2018,81,26',9.5',4.0',New York,"$1,400",fiberglass,monohull,racer/cruiser,fractional sloop,1,good
293,Jensen Cal 21,15-Jul-2018,1971,20.5',6.67',4.3',Pennsylvania,"$2,500",fiberglass,monohull,daysailer,fractional sloop,1,good
294,Precision P23,15-Jul-2018,2000,23.5',8' 6',1' 11',Illinois,"$14,000",fiberglass,monohull,cruiser,,1,excellent
295,cal cal 21,14-Jul-2018,1975,21',7.5',.1-4'',Maine,"$2,750",fiberglass,monohull,daysailer,fractional sloop,1,excellent
296,McLaughlin Optimist,14-Jul-2018,2007,7.75',3.666',',Louisiana,"$2,800",fiberglass,monohull,dinghy,cat boat,,excellent
297,Ovington Musto Performance Skiff,14-Jul-2018,2014,15',2',0',Washington,"$8,000",composite,monohull,dinghy,other,,excellent
298,MacGregor 26S,14-Jul-2018,1995,26',7.8',6.33',Florida,"$11,900",fiberglass,monohull,daysailer,,,good
299,Open Bic ,13-Jul-2018,2008,',',',Connecticut,"$1,950",other,monohull,dinghy,cat boat,,good
300, Nichol's Lighting,13-Jul-2018,,19',',',Michigan,"$2,800",fiberglass,monohull,racer/cruiser,,,good
301,pearson triton,13-Jul-2018,1963,28.5',8',3.59',Florida,"$6,500",fiberglass,monohull,cruiser,fractional sloop,2,excellent
302,Columbia T-23,12-Jul-2018,1974,23',7.92',1.08',Minnesota,"$3,999",fiberglass,monohull,cruiser,masthead sloop,,good
303,Tartan Pride 270,12-Jul-2018,,27',',',North Carolina,"$9,000",fiberglass,monohull,racer/cruiser,fractional sloop,,excellent
304,chrysler sandpiper,12-Jul-2018,1974,22',"7' 9""'","4' 6""'",Michigan,"$1,100",fiberglass,monohull,daysailer,other,1,project boat
305,Catalina 30 mark 11 tall rig,12-Jul-2018,1990,30',11',4',North Carolina,"$24,300",fiberglass,monohull,cruiser,masthead sloop,3,excellent
306,Giovanni Ceccarelli ILC 25,12-Jul-2018,2005,26',9.6',4',Outside United States,"$60,000",other,monohull,racer,other,1,excellent
307,Catalina 30,12-Jul-2018,1979,30',11',5.3',Michigan,"$10,900",fiberglass,monohull,cruiser,masthead sloop,1,fair
308,O'Day oday22,12-Jul-2018,1972,22',8',3',Alabama,"$6,500",fiberglass,monohull,cruiser,masthead sloop,1,good
309,AMF Sunfish,12-Jul-2018,1980,13',',',New York,$275,fiberglass,monohull,daysailer,other,,fair
310,Pearson 32,12-Jul-2018,1982,32',10.6',5.6',Michigan,"$26,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,excellent
311,Catalina C30 MKII,11-Jul-2018,1988,30',10',4',New York,"$20,000",fiberglass,monohull,cruiser,masthead sloop,2,good
312,Catalina Capri,10-Jul-2018,2013,22',',',South Carolina,"$17,900",fiberglass,monohull,daysailer,other,1,excellent
313,Bruce Roberts Offshore,10-Jul-2018,2006,39.5',12',5.8',Louisiana,"$55,000",fiberglass,monohull,cruiser,,1,good
314,Hunter 23.5,10-Jul-2018,94,23.5',',',Minnesota,"$7,000",fiberglass,monohull,cruiser,,,excellent
315,Pearson 26ft,10-Jul-2018,1973,26',',',North Carolina,"$3,500",fiberglass,monohull,cruiser,,,good
316,Catalina Yachts Catalina 25,05-Oct-2014,1978,25',8',"2' 8""'",Florida,"$3,000",fiberglass,monohull,cruiser,masthead sloop,1,good
317,Pearson One Design,05-Oct-2014,1978,26.17',8.67',4',Maryland,"$12,000",fiberglass,monohull,cruiser,masthead sloop,1,good
318,Dufour Dufour 34 Evolution,05-Oct-2014,2010,34',11'41',6'23',Outside United States,"$130,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
319,J-Boat J/24,03-Oct-2014,,24',"8'6""'",',Massachusetts,"$8,750",fiberglass,monohull,racer/cruiser,fractional sloop,,excellent
320,Hunter Vision,02-Oct-2014,1991,32',11.33',4.3',New York,"$39,999",fiberglass,monohull,cruiser,fractional sloop,1,excellent
321,Hobie Adventure Island,02-Oct-2014,2010,12',',',California,"$4,500",other,trimaran,daysailer,fractional sloop,0,excellent
322,O'Day 28ft,02-Oct-2014,79,28',9',4',Illinois,"$7,500",fiberglass,monohull,cruiser,masthead sloop,1,good
323,cal boats cal25 MKII,01-Oct-2014,1978,25',9',4',Illinois,"$3,900",fiberglass,monohull,cruiser,masthead sloop,2,good
324,Beneteau 361 - 50 Share,01-Oct-2014,2000,36',12',5',Maryland,"$45,000",fiberglass,monohull,daysailer,masthead sloop,2,excellent
325,Catalina 320,01-Oct-2014,2005,32',11'9',4'4',North Carolina,"$84,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
326,caspe dory 1978   25',01-Oct-2014,1978,25',8'',3.5',North Carolina,"$12,000",fiberglass,monohull,daysailer,masthead sloop,1,good
327,Beneteau First 285,01-Oct-2014,1987,28',9'8',3'11',Texas,"$19,900",fiberglass,monohull,racer/cruiser,,2,
328,Com-Pac Suncat 17,01-Oct-2014,2011,17',7'3',4'6',Texas,"$15,900",fiberglass,monohull,daysailer,,,
329,Formosa Boat Building Company Diesel Auxillary Ketch,01-Oct-2014,1979,52',15',6',California,"$149,000",fiberglass,monohull,other,ketch,4,excellent
330,Dafure Arpage,01-Oct-2014,1969,30',9.5',4.5',New Jersey,"$4,800",fiberglass,monohull,racer/cruiser,masthead sloop,,good
331,Anchorage Inc Dyer Dhow,30-Sep-2014,1970,9',',',Massachusetts,"$1,500",fiberglass,monohull,dinghy,,,excellent
332,Catalina 27,29-Sep-2014,1974,27',8',4',Pennsylvania,"$8,000",fiberglass,monohull,cruiser,masthead sloop,1,good
333,Driscoll Etchells,29-Sep-2014,1978,30',6',',Washington,"$3,000",fiberglass,monohull,racer,masthead sloop,,good
334,Hunter 41 Aft Cabin,29-Sep-2014,2005,41',13',5',Florida,"$149,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
335,Catalina 30,29-Sep-2014,1980,30',11',4.4',Virginia,"$9,000",fiberglass,monohull,cruiser,masthead sloop,2,good
336,BAVARIA CRUISER 36 2011 MODEL,29-Sep-2014,2011,37',12',',Outside United States,"$107,000",fiberglass,monohull,cruiser,,3,
337,Catalina 30,29-Sep-2014,1980,30',10.83',5.25',Idaho,"$7,000",fiberglass,monohull,cruiser,masthead sloop,2,good
338,C&amp;C Sloop,28-Sep-2014,1981,35.7',11.5',27.7',California,"$35,000",fiberglass,monohull,racer/cruiser,,1,good
339,IRWIN 10/4,28-Sep-2014,1976,25.4',10.4',33',Outside United States,"$6,500",fiberglass,monohull,cruiser,masthead sloop,1,excellent
340, bruce robert 53 pilot house ketch,27-Sep-2014,1982,53',',10',Outside United States,"$220,000",steel,monohull,motorsailer,ketch,4,excellent
341,ranger r23,27-Sep-2014,1975,23',7',4',Texas,"$5,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
342,home-built TriStar 27-9,27-Sep-2014,1987,27-9',17',3',California,"$2,000",composite,trimaran,cruiser,masthead sloop,1,project boat
343,Ontario Ontario 32,26-Sep-2014,1985,32',11',4.6',Outside United States,"$29,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
344,C&amp;C Yachts 33 MKII,26-Sep-2014,1986,32.58',10.50',6.33',New York,"$23,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,
345,Ft Meyers Yachts Brewer 44,26-Sep-2014,1990,44',12'9'',5'9',Maryland,"$185,000",fiberglass,monohull,cruiser,cutter,2,good
346,Pearson P26,25-Sep-2014,1977,26.5',8.7',5.2',New York,"$6,500",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
347, John Hannah Carol Ketch,25-Sep-2014,1964,37',12',5.5',Outside United States,"$25,000",wood,monohull,cruiser,ketch,0,good
348,Hunter 49,25-Sep-2014,2008,49'11',14'9',5'6',Florida,"$249,500",fiberglass,monohull,cruiser,masthead sloop,3,excellent
349,Cape Dory Cape Dory 25,24-Sep-2014,1974,24.83',7.25',3',Massachusetts,"$15,500",fiberglass,monohull,cruiser,masthead sloop,2,excellent
350,Bud McIntosh &amp; Jeff Fogman Cutter,24-Sep-2014,1980,34',10.5',5',Maine,"$29,500",wood,monohull,cruiser,cutter,1,excellent
351,S2 7.3,24-Sep-2014,1978,23.83',8',4',Texas,"$10,000",fiberglass,monohull,daysailer,fractional sloop,,good
352,C&amp;C 30,23-Sep-2014,1973,30',10',5',Florida,"$24,000",fiberglass,monohull,racer/cruiser,,,excellent
353,West Wight Potter,23-Sep-2014,2014,19',7.5',3.7',California,"$29,900",fiberglass,monohull,daysailer,masthead sloop,1,new
354,Carroll Marine Frers 33,21-Sep-2014,1988,33',11',"6'3""'",New York,"$38,500",fiberglass,monohull,cruiser,,,good
355,Nash 26',21-Sep-2014,2009,26'',8'6',3'8',Outside United States,"$7,800",fiberglass,monohull,cruiser,,0,excellent
356,formosa ketch,21-Sep-2014,1979,51',14.5',6.9',Outside United States,"$230,500",fiberglass,monohull,cruiser,ketch,3,excellent
357,Hunter Hunter Cherubini 25,20-Sep-2014,1977,25',8',4',Colorado,"$2,950",fiberglass,monohull,cruiser,masthead sloop,1,good
358,Catalina Yachts California Catalina 38,19-Sep-2014,1989,38',11.10',6.9',Outside United States,"$25,000",fiberglass,monohull,racer/cruiser,,,good
359,capedory 25,19-Sep-2014,1976,25',"7'3""'",4',Maine,"$3,500",fiberglass,monohull,cruiser,,1,good
360,Catana Caligo 471,19-Sep-2014,2000,47',25',3',Outside United States,"$485,000",fiberglass,catamaran,other,cat boat,3,excellent
361,Columbia 28,19-Sep-2014,1968,28',9',',California,"$3,750",fiberglass,monohull,cruiser,,1,excellent
362,Performance ZCatamaran Prinde 18-2,18-Sep-2014,1991,18',8.5',2',Minnesota,"$6,000",fiberglass,catamaran,racer/cruiser,cat boat,,excellent
363,Gemini performing sailing catamarans 105MC,18-Sep-2014,2006,34',14',2',Florida,"$114,000",fiberglass,catamaran,cruiser,masthead sloop,3,excellent
364,Vagabond 17,17-Sep-2014,,17',',',California,"$1,900",fiberglass,monohull,cruiser,,,good
365,O'Day 35,17-Sep-2014,1985,35',11'3',5' 7',Virginia,"$22,900",fiberglass,monohull,cruiser,masthead sloop,,excellent
366,Carroll Marine Farr30,16-Sep-2014,1996,30',10',7',New York,"$52,000",fiberglass,monohull,racer,fractional sloop,,excellent
367,Gordon Douglass Flying Scot,16-Sep-2014,1967,19',6',4',Nevada,"$2,350",fiberglass,monohull,daysailer,fractional sloop,0,good
368,J Boats-Tillotson Pearson J24,16-Sep-2014,1980,24',8.75',4',New York,"$6,600",fiberglass,monohull,racer/cruiser,fractional sloop,1,good
369,Cheoy Lee Robbs design,16-Sep-2014,1964,35',10.2',5.9',,"$30,000",wood,monohull,racer/cruiser,masthead sloop,1,
370,Catalina 350 MK II,15-Sep-2014,2004,35.5',13',4.5',Texas,"$105,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
371,Aerodyne 38,15-Sep-2014,2000,38',13',7.75',Connecticut,"$149,900",fiberglass,monohull,racer/cruiser,,3,good
372,Catalina C30,14-Sep-2014,1978,30',10.5',3.0',California,"$17,000",fiberglass,monohull,cruiser,masthead sloop,0,excellent
373,Victoria 18,14-Sep-2014,82,18',5.5',2',North Carolina,"$2,500",fiberglass,monohull,daysailer,fractional sloop,1,good
374,Catalina C-22,13-Sep-2014,1981,21.5',7.67',3.5',Virginia,"$4,000",fiberglass,monohull,daysailer,masthead sloop,1,fair
375,Morgan Outisland,13-Sep-2014,1979,41',13'6',4',Florida,"$28,000",fiberglass,monohull,cruiser,ketch,3,project boat
