,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
5808,Whitby 25 folkboat,29-Nov-2019,1964,25',7',4',Maryland,"$4,000",fiberglass,monohull,cruiser,masthead sloop,,good
5809,Hunter 31,29-Nov-2019,1987,31',12',5',Florida,"$24,999",fiberglass,monohull,cruiser,ketch,1,good
5810,Abbott Solings,29-Nov-2019,1971,27',6',5',California,"$4,000",fiberglass,monohull,racer,,,good
5811, Laser,28-Nov-2019,1999,',',',Florida,"$2,500",fiberglass,monohull,dinghy,,,excellent
5812,Fountaine Pajot Salina Evolution,27-Nov-2019,2011,48',25.25',3.6',Florida,"$445,000",fiberglass,catamaran,cruiser,cat boat,2,excellent
5813,Marshall Sanderling Open daysailer,26-Nov-2019,2010,18',',',Connecticut,"$39,500",fiberglass,monohull,daysailer,cat boat,,excellent
5814, Laser Full Rig,25-Nov-2019,1987,',',',New Jersey,"$1,800",fiberglass,monohull,racer,other,,good
5815,Westall Nova 27,24-Nov-2019,1972,27',9',5',Outside United States,"$8,000",fiberglass,monohull,cruiser,cutter,1,good
5816,Jeanneau  and TPI Lagoon 35 CCC,23-Nov-2019,96,35',15',3',California,"$140,000",composite,catamaran,cruiser,fractional sloop,2,excellent
5817,Jeanneau Lagoon 35 CCC,22-Nov-2019,96,35',15',3',California,"$135,000",fiberglass,catamaran,racer/cruiser,fractional sloop,2,excellent
5818,Catalina sail,22-Nov-2019,1974,27',8.5',4',California,"$3,000",fiberglass,monohull,daysailer,masthead sloop,1,good
5819,Hunter 42 Passage,22-Nov-2019,1992,42',14',5',Florida,"$93,500",fiberglass,monohull,cruiser,masthead sloop,2,good
5820,Hunter 34,22-Nov-2019,1986,34.5',11.7',4.3',Florida,"$35,000",fiberglass,monohull,cruiser,masthead sloop,3,excellent
5821,Soling ,22-Nov-2019,1984,27',6',4.5',Florida,"$7,500",fiberglass,monohull,racer,,,excellent
5822,ODay CAL 33,21-Nov-2019,1989,33',11.4',6.2',California,"$40,000",fiberglass,monohull,cruiser,masthead sloop,1,excellent
5823,Nickels Lightning,21-Nov-2019,2005,19',6.6',',California,"$8,800",fiberglass,monohull,racer,fractional sloop,,excellent
5824,Hunter 170,21-Nov-2019,2008,17',7',6',South Carolina,"$5,500",fiberglass,monohull,cruiser,,,excellent
5825,Jeanneau Fantasia 27,20-Nov-2019,1984,27',11',5',New York,"$10,500",fiberglass,monohull,cruiser,fractional sloop,1,good
5826,Roberts Center Spray,20-Nov-2019,1976,40',14.6',4.2',Outside United States,"$65,000",steel,monohull,motorsailer,ketch,2,good
5827,Bristol 32,20-Nov-2019,1979,32',9'6',4'7',Maryland,"$20,000",fiberglass,monohull,cruiser,,,
5828,jenneau sun odyssey 50 DS,20-Nov-2019,2010,50',',',Rhode Island,"$278,000",fiberglass,monohull,motorsailer,,3,excellent
5829,piver trimran,19-Nov-2019,1979,36',20',4',Outside United States,"$10,000",composite,trimaran,cruiser,cutter,2,
5830,BRISTOL HERRESHOFF ,19-Nov-2019,,',',',Outside United States,"$40,000",fiberglass,monohull,cruiser,masthead sloop,,excellent
