,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
1538,Hobie Hobie Cat,18',8',1',1985,racer/cruiser,fiberglass  catamaran,"Weaverville, California","$1,700",20-Dec-2019,
0,Canadian Sailcraft CS 36 Traditional,36.5',11.6',6.2',1983,cruiser,fiberglass  monohull,"Grand Marais MN and Cornucopia WI, Minnesota","$57,000",26-Jan-2022,1 diesel inboard
21,Islander Bahama,30',,,1981,cruiser,fiberglass  monohull,"Palm Beach, Florida","$6,500",07-Aug-2021,1 diesel inboard
41,Tillotson J22,22.5',8',3.8',1989,racer/cruiser,fiberglass  monohull,"Pentwater, Michigan","$5,900",06-Aug-2021,1 gas inboard
61,Cape Dory Typhoon,18.5',6'3',2'7',1982,cruiser,fiberglass  monohull,"Lake Lanier NE of Atlanta, Georgia","$7,950",06-Aug-2021,
79,Catalina ,25',8',4',1977,cruiser,fiberglass  monohull,"Springfield, Oregon","$5,500",05-Aug-2021,1 gas outboard
99,Wharram Tiki 21...now SOLD,21',12',1.5',,cruiser,composite  catamaran,"Delta BC Canada, Outside United States","$3,900",05-Aug-2021,1 gas outboard
117,Com-Pac 27-2,29.58',9.5',3.5',1990,cruiser,fiberglass  monohull,"Louisville, Kentucky","$37,900",05-Aug-2021,1 diesel inboard
137,J Boats J/29 MHOB,29',11',5.5',1986,racer/cruiser,fiberglass  monohull,"British Columbia, Outside United States","$19,000",05-Aug-2021, gas outboard
157,Hunter hunter 27,27',9'3',3'3',1984,cruiser,fiberglass  monohull,"Staten Island, New York","$12,500",05-Aug-2021,1 diesel inboard
177,NACRA 18 Square Meter Catamaran,18',11',,1980,racer,fiberglass  catamaran,"Lynden, Washington","$15,000",04-Aug-2021,
195, Alberg,29',9',4.5',1982,cruiser,fiberglass  monohull,"Belleville Ontaio Canada, Outside United States","$13,800",04-Aug-2021,1 diesel inboard
215,Catalina 36,36',11'11',5'10',1990,cruiser,fiberglass  monohull,"Stockton Springs, Maine","$45,900",04-Aug-2021,1 diesel inboard
235,Sunfish ,14.5',,,1978,dinghy,fiberglass  monohull,"The Woodlands, Texas","$1,700",04-Aug-2021,
253,Catalina 34 TR WK,34.5',11.75',3.83',1988,cruiser,fiberglass  monohull,"Atlantic Highlands, New Jersey","$31,500",04-Aug-2021,1 diesel inboard
273,Bayliner Buccaneer 240 - standard rig,',,,,cruiser,fiberglass  monohull,,$500,04-Aug-2021,
287,Columbia Sabre,32',6'3',6'4',1966,racer,fiberglass  monohull,"Huntington Beach, California","$11,000",04-Aug-2021,1 gas outboard
307,Allen or Nickels Lightning,19',15',5',,racer,fiberglass  monohull,"Pymatuning Yacht Club, Ohio","$2,500",04-Aug-2021,
323,Tartan Tartan30,30',10',"4'10""'",1977,cruiser,fiberglass  monohull,"Grand River, Ohio","$7,500",04-Aug-2021,1 gas inboard
343,Bic O'pen,9',,,,dinghy,  monohull,,"$2,400",03-Aug-2021,
357,Sabre ,34',10'6',5'6',1985,cruiser,fiberglass  monohull,"Jamestown, Rhode Island","$28,000",02-Aug-2021,1 diesel inboard
377,Catalina 30,30',10',310',1987,cruiser,fiberglass  monohull,"Key Biscayne, Florida","$22,000",02-Aug-2021, diesel inboard
397,Catalina 42,42',14',5',1994,cruiser,fiberglass  monohull,"Lake Ontario, Outside United States","$116,000",02-Aug-2021,1 diesel inboard
417,Mason ,43.6',12.3',6.3',1983,cruiser,fiberglass  monohull,"Port Aransas, Texas","$49,999",02-Aug-2021,1 other inboard
437,O'Day 272,27',9',2'11',1987,cruiser,fiberglass  monohull,"North Kingston, Rhode Island","$9,500",02-Aug-2021,1 gas outboard
457,Tartan 34C,34',10'2',,1970,cruiser,fiberglass  monohull,"Westport Island, Maine","$27,500",02-Aug-2021,1 diesel inboard
477,Ontario Yachts Etchells,30.5',8.0',4.0',1982,racer/cruiser,fiberglass  monohull,"Dana Point Yacht Club, California","$3,500",02-Aug-2021,
495,Hunter 44 ac,44',,5',2004,,fiberglass  monohull,"st pete beach, Florida","$169,900",02-Aug-2021,1 diesel inboard
513,Boston Whaler 5.2,17',7',,1982,daysailer,fiberglass  monohull,"Conesus Lake, New York","$6,500",02-Aug-2021, gas inboard
533,Rebel DaySailer1,17',6',3.75',1981,daysailer,fiberglass  monohull,"Punta Gorda, Florida","$4,000",01-Aug-2021, gas outboard
553,Beneteau First 456,45',14',6.5',1983,racer/cruiser,fiberglass  monohull,"Caribbean French island, Outside United States","$90,000",01-Aug-2021,1 diesel inboard
573,Sunfish Laser Inc Daysailer I,17',,,1992,daysailer,fiberglass  monohull,"Ballston Spa, New York","$1,750",01-Aug-2021,0 gas inboard
593,Jeanneau Sun Odyssey 349,34',11.4',4.9',2016,racer/cruiser,fiberglass  monohull,"Lake Champlain USA NY, Vermont","$159,000",01-Aug-2021,1 diesel inboard
613,Corsair MkII,24',19',1.5',1998,cruiser,fiberglass  trimaran,"Vancouver BC -- can travel, Outside United States","$33,000",31-Jul-2021,1 gas outboard
633,Catalina 22,22',7.6',5',1972,cruiser,fiberglass  monohull,"Frisco Bay Marina, Colorado","$3,500",31-Jul-2021, gas inboard
653,Pearson 26,26',,,1977,cruiser,fiberglass  monohull,,"$3,800",31-Jul-2021, gas outboard
671,Compac SunCat,17'4',7'3',2',2003,daysailer,fiberglass  monohull,"Allentown, Pennsylvania","$9,300",31-Jul-2021,1 gas outboard
691,SOLD O'Day ODay 25,25',8',210',1982,cruiser,fiberglass  monohull,"Pentwater, Michigan","$5,900",31-Jul-2021,1 gas outboard
711,Precision Precision 15,15',7',3.8',,daysailer,fiberglass  monohull,"Raleigh, North Carolina","$5,500",31-Jul-2021, gas outboard
729,Hunter 336,33.5',11.8',4.5',1995,cruiser,fiberglass  monohull,"Mt Sinai Yacht Club, New York","$26,000",31-Jul-2021,1 diesel inboard
749,Endeavour Catamaran 36,36',15',3'4',2000,cruiser,fiberglass  catamaran,"Delaware City, Delaware","$130,000",29-Jul-2021,2 diesel inboard
769,Newport 41S,41',11'3',6'3',1984,cruiser,fiberglass  monohull,"San Diego, California","$17,500",29-Jul-2021,1 diesel inboard
789,Perrine Boatworks Barnegat Bay Sailing Sneakbox,16',,8',1942,daysailer,wood  monohull,"Barnegat Light, New Jersey","$3,500",29-Jul-2021,
807,Clark brothers San Juan 28 sailboat,28',10',4.5',1978,racer/cruiser,fiberglass  monohull,"Canyon Ferry Lake, Montana","$18,000",28-Jul-2021,1 gas inboard
827,Beneteau 343,35',,,2006,cruiser,fiberglass  monohull,"La Belle, Florida","$75,000",28-Jul-2021,1 diesel inboard
847,O'Day 25th Anniversary Model,26',,,1985,cruiser,fiberglass  monohull,,"$5,500",28-Jul-2021, gas outboard
865,Hunter Legend,34',11',5.5',1983,cruiser,fiberglass  monohull,"West Palm beach, Florida","$37,000",17-Nov-2021,1 diesel inboard
885,Jeanneau Sun Odyssey 43 DS,43',13'8',5'2',2002,cruiser,fiberglass  monohull,"BVI, ","$129,000",28-Jul-2021, diesel inboard
905,Willard Cutter 8T,30',10.6',4.8',1978,cruiser,fiberglass  monohull,"Galesville, Maryland","$29,500",27-Jul-2021,1 diesel inboard
925,Cheoy Lee Offshore 32,32',10.5',4.5',1978,cruiser,fiberglass  monohull,"Stony Point, New York","$9,950",27-Jul-2021,1 diesel inboard
945,Hobie Getaway,16' 7',"7' 8""'","10""'",2005,daysailer,composite  catamaran,"White Lake, New York","$3,250",27-Jul-2021,
963,Endeavour Sloop,33',11.6',4.6',1984,cruiser,fiberglass  monohull,"Rio Dulce Guatemala, Outside United States","$35,000",27-Jul-2021,1 diesel inboard
983,S2 7.9,26',9',50',1987,racer/cruiser,fiberglass  monohull,"Tonka Bay MN Lake Minnetonka, Minnesota","$12,000",27-Jul-2021,1 gas outboard
1003,Olson 40,40',11'4',6'6',1983,cruiser,fiberglass  monohull,"Stockton, Missouri","$60,000",27-Jul-2021,1 diesel inboard
1023,Atlas Boat Works 47,47',15'2',6'6',2000,cruiser,composite  monohull,"Raiatea French Polynesia, Outside United States","$229,808",27-Jul-2021, diesel inboard
1043,Camper & Nicholsen Dinghy Yacht Tender,10',4',,1920,dinghy,wood  monohull,"Evansville, Indiana","$18,000",27-Jul-2021,
1061,J30 Tillotson Pearson Yachts,30',11',5'4',,racer/cruiser,fiberglass  monohull,"Mandevillle, Louisiana","$19,000",27-Jul-2021,1 diesel inboard
1079,ADH Inotec Diam 24 one design,24',,,,daysailer,  trimaran,"La Fort-Fouesnant, Outside United States","$29,550",27-Jul-2021, other outboard
1097,Windrider Rave,17',17',3',1998,racer,other  trimaran,"Redlands, California","$6,000",26-Jul-2021,
1115,C&C Sloop,36'',11'',5'9',1979,cruiser,fiberglass  monohull,"Henderson, New York","$13,900",26-Jul-2021,1 diesel inboard
1135,Canadian Sailcraft 33,33',10',5'8',1981,racer/cruiser,fiberglass  monohull,"Bayfield - Lake Huron, Outside United States","$28,000",26-Jul-2021,1 diesel inboard
1155,SOLD SOLD,26',8',1',1998,daysailer,fiberglass  monohull,"BOYNTON BEACH, Florida","$13,000",26-Jul-2021,1 gas outboard
1175,Pearson 30 P-30,30',9.5',5',1976,cruiser,fiberglass  monohull,"Chaumont, New York","$9,000",26-Jul-2021,1 gas inboard
1195,Hunter 336,33.5',,,196,cruiser,fiberglass  monohull,"Kelowna BC Canada, Outside United States","$49,900",26-Jul-2021, diesel inboard
1215,Marshall Marine Sanderling,18',8'6',2'6',1978,daysailer,fiberglass  monohull,"Lake Lanier GA, Georgia","$10,000",26-Jul-2021,1 gas outboard
1235,Downeaster Downeaster 38,38',12',4.11',1979,cruiser,fiberglass  monohull,"Fort Walton Beach, Florida","$110,000",18-Dec-2021,1 diesel inboard
1255,Tanzer 22,22',7'10',2  4',1978,racer/cruiser,fiberglass  monohull,"Presque Isle Marina, Pennsylvania","$4,900",26-Jul-2021,1 gas outboard
1275,CT Ketch,48',13',,1975,cruiser,fiberglass  monohull,"Mississauga Ontario Canada, Outside United States","$107,365",25-Jul-2021,
1293,catalina 34,34',11.9',,1997,cruiser,fiberglass  monohull,"avalon harbor, California","$70,000",25-Jul-2021, diesel inboard
1313, ,22.75',7.38',4.8',2020,racer/cruiser,fiberglass  monohull,"Mechanicsburg, Pennsylvania","$57,500",25-Jul-2021,0 other outboard
1333,Pearson 365 Sloop,36-4',11.5',4.5',1979,cruiser,fiberglass  monohull,"Brunswick, Georgia","$35,000",25-Jul-2021,1 diesel inboard
1353,Catalina 30,30',11',5.2',1979,cruiser,fiberglass  monohull,"Flowery Branch, Georgia","$15,500",25-Jul-2021,1 gas inboard
1373,Pearson 28,28',9.33',5',1981,racer/cruiser,fiberglass  monohull,"Skipjack Cove Marina, Maryland","$11,500",09-Apr-2022,1 diesel inboard
1393,Morgan MKII 383,38',12.5',5'10',1979,cruiser,fiberglass  monohull,"Harrison Twp, Michigan","$39,375",24-Jul-2021,1 diesel inboard
1413,San Juan 23',23',8',,1978,racer/cruiser,fiberglass  monohull,"Curlew, Washington","$5,000",24-Jul-2021,1 gas outboard
1433,Catalina Coronado 15,15.3',5.6',3.6',,racer/cruiser,fiberglass  monohull,"Cedar Falls, Iowa","$3,000",24-Jul-2021, gas inboard
1451,AMF Sunfish,14',,,1977,cruiser,fiberglass  monohull,"Green Bay, Wisconsin","$1,200",24-Jul-2021, gas inboard
1471,CS 33,33',10',4',1983,cruiser,fiberglass  monohull,"Trenton Canada Ontario, Outside United States","$39,900",24-Jul-2021,1 diesel inboard
1491,Corsair Sprint 750 MK1,24',18',5.25',2007,racer,fiberglass  trimaran,"Victoria, Outside United States","$28,000",23-Jul-2021,1 gas outboard
1511,HARDIN seawolf,42',12.7',6',1977,cruiser,fiberglass  monohull,"LOS CABOS B C S MEXICO, ","$74,500",23-Jul-2021,1 diesel inboard
0,Southern Ocean Shipyards Van De Stadt Rebel 41,41',10.9',6.5',1968,cruiser,fiberglass  monohull,"Sidney British Columbia Canada, Outside United States","$44,500",24-Jul-2019,1 diesel inboard
21,Marieholm International Folkboat 1971,26',7.5',4',1971,daysailer,fiberglass  monohull,"Moss Landing, California","$5,000",24-Jul-2019,1 gas outboard
41,Catalina Capri 22,22',8',3',1989,daysailer,fiberglass  monohull,"Lake Champlain NY, New York","$650,000",24-Jul-2019, gas inboard
61,Hunter 31,31',11',5.5',1983,cruiser,fiberglass  monohull,"Harisson Twp, Michigan","$9,000",23-Jul-2019,1 diesel inboard
81,Far Pilot House,50',15' 4',,2001,cruiser,fiberglass  monohull,"Ft Lauderdale, Florida","$350,000",23-Jul-2019, gas inboard
101,Nauticat Pilot house,51',15',,2000,cruiser,fiberglass  monohull,"Ft Lauderdale, Florida","$399,000",23-Jul-2019, gas inboard
121,Tayana Deck Salon,48',14'6',,2005,cruiser,fiberglass  monohull,"Ft lauderdale, Florida","$399,000",23-Jul-2019,1 diesel inboard
141,Loadmaster Trailer,35',10',6',2015,cruiser,fiberglass  monohull,"Kemah, Texas","$10,200",23-Jul-2019, gas inboard
161,Hunter 450 Passage,45',14',5.5',2000,cruiser,fiberglass  monohull,"Brunswick, Georgia","$143,500",22-Jul-2019,1 diesel inboard
181,Downeast 41ft cutter,41',12.5',4',81,cruiser,fiberglass  monohull,"San Diego, California","$59,000",22-Jul-2019,1 diesel inboard
201,Palmer Johnson Rhodes Bounty II,41',10',6',1961,cruiser,fiberglass  monohull,"Westport, Massachusetts","$44,900",22-Jul-2019,1 diesel inboard
221,Jensen Marine Cal 36,36',10.33',5.70',1966,racer/cruiser,fiberglass  monohull,"Newport, Oregon","$17,000",22-Jul-2019,1 diesel inboard
241,oday 25,25',8',2.25',1979,cruiser,fiberglass  monohull,"Amityville, New York","$4,500",22-Jul-2019,1 gas outboard
261,Tayana Ta Yang Yacht Tayana 37 MK II,36.8',11.5',5.6',1984,cruiser,fiberglass  monohull,"Kingston, New York","$74,500",21-Jul-2019,1 diesel inboard
281,Hunter 336,34',14',5',1995,racer/cruiser,fiberglass  monohull,"Lynn, Massachusetts","$30,000",21-Jul-2019,1 diesel inboard
301,Hunter 26.5,26.5',9',3.5',1987,daysailer,fiberglass  monohull,"McLean VA Solomons, Maryland","$2,900",20-Jul-2019,1 gas outboard
321,Hunter Legend 35.5,35.5',12',4.5',1990,cruiser,fiberglass  monohull,"Middle river, Maryland","$38,500",20-Jul-2019,1 diesel inboard
341,Lancer Yachts 29 MKIV,29',8',2.83',1981,cruiser,fiberglass  monohull,"Alamitos Bay Marina, California","$3,800",20-Jul-2019,1 diesel inboard
361,Precision 185,18',6',.5',2003,daysailer,fiberglass  monohull,"Waterloo, Iowa","$4,500",19-Jul-2019,1 gas outboard
381,Laser Performance Laser,14',4.7',2.7',2010,dinghy,fiberglass  monohull,"Toms River, New Jersey","$4,500",19-Jul-2019, gas inboard
401,O'Day 30,30',10'9',3'6',1977,cruiser,fiberglass  monohull,"Carlyle, Illinois","$10,800",19-Jul-2019,1 diesel inboard
421,Gilbert Caroff Bulle de soleil,34.6',12',2.5',1986,cruiser,steel  monohull,"Sept-Iles, ","$76,500",19-Jul-2019,1 diesel inboard
441,Beneteau First 47.7,48',14.75',7.5',2002,racer/cruiser,fiberglass  monohull,"Cape Charles, Virginia","$250,000",18-Jul-2019,1 diesel inboard
461,Hunter Cherubini 27,27',,4',1981,daysailer,fiberglass  monohull,"Kemah TX, Texas","$5,800",18-Jul-2019,1 diesel inboard
481,Catalina ,25',,,1985,daysailer,fiberglass  monohull,"Lake Geneva, Wisconsin","$4,000",18-Jul-2019,1 gas outboard
501,Ericson 30,30',,4',1986,racer/cruiser,fiberglass  monohull,"Lynn Yacht Club, Massachusetts","$22,500",18-Jul-2019,1 diesel inboard
521,Catalina 25,25',8',4',86,cruiser,fiberglass  monohull,"Pasadena, Maryland","$6,500",18-Jul-2019, diesel inboard
541,Hunter 33c,33',10.6',5.3',1980,cruiser,fiberglass  monohull,"Montys Bay Chasy, New York","$13,000",17-Jul-2019,1 diesel inboard
561,Bali Catamarans Bali 4.5,45',,,2017,cruiser,fiberglass  catamaran,"Cancun, ","$690,000",17-Jul-2019,2 diesel inboard
581,Catalina 250,25',8',5',1980,cruiser,fiberglass  monohull,"Percy Priest Lake Nashville, Tennessee","$6,500",17-Jul-2019,1 gas outboard
601,pacific seacraft mariah,31',10'8',4'5',1977,cruiser,fiberglass  monohull,"Friday Harbor, Washington","$59,900",17-Jul-2019, diesel inboard
621,J 22,22',,,1984,racer/cruiser,fiberglass  monohull,"dallas, Texas","$5,500",17-Jul-2019,0 gas inboard
641,Damien 2 Meta Goleta Ocenica,47.5',15.7',8',1979,cruiser,steel  monohull,"Miranda Venezuela, Outside United States","$75,000",17-Jul-2019,1 diesel inboard
661,Ranger Mull 26 II,',,,1979,racer/cruiser,fiberglass  monohull,"Bristol RI, Rhode Island","$3,000",16-Jul-2019, gas outboard
681,Jet Jet 14,14',,,,racer/cruiser,fiberglass  monohull,"Wayne Pines Lake, New Jersey",$250,16-Jul-2019,
697,Johnson Boat Works c-scow,20',,,1963,racer/cruiser,wood  monohull,"Fargo, North Dakota","$1,000",16-Jul-2019,0 gas inboard
717,Catalina 27,27',9',4',84,cruiser,fiberglass  monohull,"Lanoka Harbor, New Jersey","$9,850",16-Jul-2019,1 diesel inboard
737,Liberty Yachts Pied Piper,28',8'9',6'3',1987,cruiser,fiberglass  monohull,"North Myrtle Beach, South Carolina","$9,500",16-Jul-2019,1 diesel inboard
775,Abbott Boat Works Canada Abbott 36,36'3',10',6'6',1985,racer/cruiser,fiberglass  monohull,"Royal Canadian Yacht Club Toronto Ontario, Outside United States","$32,300",14-Jul-2019,1 diesel inboard
795,Bangor Punta Marine Call 27,26',9',4',1976,cruiser,fiberglass  monohull,"Sailors Cove Marina Harrison Twp, Michigan","$6,000",13-Jul-2019,1 gas outboard
815,Hunter 28,28',10.5',3.75',1990,cruiser,fiberglass  monohull,"High Cliff State Park Sherwood, Wisconsin","$24,500",13-Jul-2019,1 diesel inboard
835,Macgregor 19,19',8',1',94,motorsailer,fiberglass  monohull,"Fuquay Varina, North Carolina","$6,800",13-Jul-2019,1 gas outboard
855,U S Navy Staysail Cutter,28.',7',5',1955,cruiser,wood  monohull,"Anacortes, Washington","$4,950",13-Jul-2019,1 diesel inboard
875,ODay 302,30',10',4',1988,cruiser,fiberglass  monohull,"Bayville, New Jersey","$21,000",13-Jul-2019,1 diesel inboard
895,Ranger Ranger33,33',9.6',5.2',1976,cruiser,fiberglass  monohull,"Pungo River, North Carolina","$14,450",12-Jul-2019,1 gas inboard
915,Tartan T37,37' 3',11'9'',4'2''',1983,cruiser,fiberglass  monohull,"Boyne City, Michigan","$54,000",12-Jul-2019,1 diesel inboard
935,Wylie 34 34,34',,,,racer/cruiser,fiberglass  monohull,"Santa Cruz, California","$32,000",12-Jul-2019,1 diesel inboard
953,Melges M-20,20',,,1975,racer,fiberglass  monohull,"COLUMBUS, Indiana","$4,000",12-Jul-2019,
971,canadian sailboat CS34,34',11'3',6'3',1990,daysailer,fiberglass  monohull,"Plattsburg boat Basin, New York","$67,000",11-Jul-2019,1 diesel inboard
991,Easterly 30,30',,4',,cruiser,fiberglass  monohull,"New Smyrna, Florida","$7,800",11-Jul-2019, diesel inboard
1009,C&C Mark 2,35',10.5',5.5',1974,cruiser,fiberglass  monohull,"Lake Charlevoix Bay Marine Advance, Michigan","$17,500",11-Jul-2019,1 gas inboard
1029,Custom Nacra ,18',,,2011,other,fiberglass  trimaran,"Englewood, Florida","$5,000",11-Jul-2019,1 gas outboard
1049,Douglass & McLeod Highlander,20',6.6',5.6',1968,,fiberglass  monohull,"Fairport Harbor, Ohio","$3,500",11-Jul-2019,1 gas outboard
1067,Pearson Pearson Triton Hull 3,28',8',4',1959,cruiser,fiberglass  monohull,"Dallas, Florida","$22,500",11-Jul-2019,1 diesel inboard
1087,Grampian 26,26',8',3',1972,racer/cruiser,fiberglass  monohull,"Bay City, Michigan","$8,400",11-Jul-2019,1 gas outboard
1107,Allied Sea Wind,30',9.25',4',1967,cruiser,fiberglass  monohull,"Ithaca, New York","$10,000",11-Jul-2019,1 diesel inboard
1127,J BOAT J35,35',10',7',1983,racer,fiberglass  monohull,"NANAIMO VANCOUVER ISLAND, Outside United States","$35,000",10-Jul-2019,1 diesel inboard
1147,Marshall Cat,15',,,1971,other,fiberglass  monohull,"Palm Bay, Florida","$2,500",10-Jul-2019, gas inboard
1167,WD Shock Corp Santana 2023-A,23'4',8'6',5'4',1993,racer/cruiser,composite  monohull,"Mancos, Colorado","$7,900",10-Jul-2019,1 gas outboard
1187,Nautitech 46 Open,46',24.8',4.8',2019,cruiser,fiberglass  catamaran,"La Rochelle France, New York","$517,000",10-Jul-2019,2 diesel inboard
1207,Antigua 59,59',14',6',,cruiser,fiberglass  monohull,"kavala Greece, Outside United States","$175,000",10-Jul-2019,1 diesel inboard
1225,Catalina 27 Tall Rig,27',8'10',4',1982,cruiser,fiberglass  monohull,"Fort Lauderdale, Florida","$8,300",10-Jul-2019,1 gas inboard
1245,Comar Comet,30',10'4',6',1975,racer,fiberglass  monohull,"PORT ROYAL, South Carolina","$6,000",10-Jul-2019,1 gas outboard
1265,Alpha One Composites Aeroyacht Alpha 42,42',24.3',3.7',2014,cruiser,composite  catamaran,"City Island, New York","$330,000",09-Jul-2019,2 diesel inboard
1285,Catalina 27,26'10',9',4',1985,racer/cruiser,fiberglass  monohull,"Sandusky, Ohio","$9,950",09-Jul-2019,1 diesel inboard
1305,L Francis Herreshoff Designed MeadowLark,37',8',18',1970,cruiser,wood  monohull,"Chesapeake Bay Eastern Shore, Maryland","$24,000",09-Jul-2019,1 diesel inboard
1325,stiletto 30GT,30',16',4.5',1986,racer/cruiser,fiberglass  catamaran,"Celina, Ohio","$22,000",08-Jul-2019,1 gas outboard
