,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
870,Bonerate Boat Builders Sulawesi Perahu Lambo,72',17',6',1984,cruiser,wood  monohull,"Langkawi, Outside United States","$125,000",13-Jun-2021,1 diesel inboard
890,Catalina 27,27',8',4',,cruiser,fiberglass  monohull,"Great Salt Lake Marina, Utah","$3,000",12-Jun-2021, gas inboard
908,Atlantic Macko Catboat,21',10',5',1984,daysailer,fiberglass  monohull,"North Kingstown, Rhode Island","$14,999",12-Jun-2021,1 diesel inboard
928,Catalina 27,27',8',4',1985,racer/cruiser,fiberglass  monohull,"Muskegon, Michigan","$9,999",11-Jun-2021,1 diesel inboard
948,Wharrum Catamaran design Tiki 21,21',12',1',2007,other,composite  catamaran,"Yorktown, Virginia","$5,000",11-Jun-2021,1 other outboard
968,CSY 44 W/O,44'',13.33',5'10',1980,motorsailer,fiberglass  monohull,"Clearwater Municipal Marina-Drew St Clearwater FL, Florida","$42,000",11-Jun-2021,1 diesel inboard
988,Com Pac Sun Cat,17.3',7.3',1.2',2010,cruiser,fiberglass  monohull,"Va Beach, Virginia","$13,500",11-Jun-2021, gas outboard
1008,CAL CAL 28,28',9',4.5',1987,cruiser,fiberglass  monohull,"Portsmouth, Rhode Island","$14,900",11-Jun-2021,1 diesel inboard
1028,Cape Horn 40,40',12'6',4'6',,cruiser,fiberglass  monohull,"Corpus Christi, Texas","$49,900",11-Jun-2021,1 diesel inboard
1046,Catalina Cyclone Capri C-13,13',,,1974,racer,fiberglass  monohull,"crystal lake IL, Illinois","$1,600",11-Jun-2021,
1064,Grampian Sloop,26',8'4',4',1970,cruiser,fiberglass  monohull,"Pelham Manor, New York","$3,600",11-Jun-2021,1 gas outboard
1084,Gulfstream Sloop,25'3',8'2',4'4',,cruiser,fiberglass  monohull,"Fernandia Beach, Florida","$5,595",11-Jun-2021,1 gas outboard
1102,Hunter 420 Passage,43',13'10',5',2005,cruiser,fiberglass  monohull,"Titusville, Florida","$139,900",10-Jun-2021,1 diesel inboard
1122,Sabre 42,42',12'6',4'6',1987,racer/cruiser,fiberglass  monohull,"Stuart, Florida","$89,900",02-Jun-2022,1 diesel inboard
1143,CSY 37b,37',12',5',1980,cruiser,fiberglass  monohull,"Deltaville, Virginia","$72,500",22-Oct-2021,1 diesel inboard
1163,Cheoy Lee Luders 30,30',9',5',1975,cruiser,fiberglass  monohull,"Delran, New Jersey","$3,500",10-Jun-2021,1 diesel inboard
1183,Jeanneau Sun Odyssey 45,45',14.34',6.73',2004,cruiser,fiberglass  monohull,"Aruba, Outside United States","$99,000",10-Jun-2021,1 diesel inboard
1203,Passport 40,39'7',13'7',5-8',1983,cruiser,fiberglass  monohull,"Orcas, Washington","$125,000",09-Jun-2021,1 diesel inboard
1223,Contessa 26,26',7.5',4',1972,cruiser,fiberglass  monohull,,"$20,000",09-Jun-2021,1 diesel inboard
1241,Tartan 34C,34',10.17',4',1968,cruiser,fiberglass  monohull,"Mayo, Maryland","$9,999",08-Jun-2021,1 gas inboard
1261,Pearson 27 Sloop Rig - Wing Keel,27',9.1',3.5',1989,cruiser,fiberglass  monohull,"Point Bay Marina Charlotte, Vermont","$10,500",08-Jun-2021,1 diesel inboard
1281,Island Packet 380,39.6',13',5',2001,cruiser,fiberglass  monohull,"US Virgin Islands, Outside United States","$150,000",08-Jun-2021,1 diesel inboard
1301,Chris Craft Shields,30.21',6.42',4.75',1963,daysailer,fiberglass  monohull,"Qubec, Outside United States","$19,000",08-Jun-2021, gas inboard
1321,Pearson P33 No. 248,33',10',4',1974,cruiser,fiberglass  monohull,"Gulfport, Florida","$3,000",08-Jun-2021,1 diesel inboard
1341,Hunter 37.5,37.6',12.83',4' 11',1991,cruiser,fiberglass  monohull,"Racine, Wisconsin","$64,500",08-Jun-2021,1 diesel inboard
1361,RS FEVA XL,12',,,2018,dinghy,composite  monohull,"Rangeley, Maine","$6,500",08-Jun-2021,
1379,Zodiac Cadet 390DL,12',5',,2019,dinghy,  monohull,"Virginia Beach, Virginia","$11,000",07-Jun-2021,1 gas outboard
1399,Maxim Maxim 380,38',20',4',2006,cruiser,fiberglass  catamaran,"Palma Majorca, Outside United States","$195,000",07-Jun-2021,2 diesel inboard
1419,McLaughlin Custom Pro Racer,8',,,2019,racer,fiberglass  monohull,"Fairfield, Connecticut","$4,000",07-Jun-2021,
1437, bristol 32,32',9.5',4.8',1979,cruiser,fiberglass  monohull,"rochester, New York","$28,000",06-Jun-2021,1 diesel inboard
1457,Haussen Folkboat,26',7.5',4.5',1958,daysailer,wood  monohull,"Afton, Oklahoma","$9,000",03-Mar-2022,1 gas outboard
1477,Island Packet Island Packet 32,35',11.5',5',1990,cruiser,fiberglass  monohull,"Blaine, Washington","$67,000",05-Jun-2021,1 diesel inboard
1497,Prindle 16,16',,,1975,racer,fiberglass  monohull,"Ventura Harbor, California","$1,000",05-Jun-2021,
1515,Mistral 4.2,16',5.5',,1983,daysailer,fiberglass  monohull,"Fairborn, Ohio","$3,500",05-Jun-2021,  inboard
0,Skye Skye 51 Ketch,51',14.5',7.5',1981,cruiser,fiberglass  monohull,"Gulfport, Mississippi","$175,000",14-Oct-2013,1 diesel inboard
21,Benetaeu Oceanis,38',12'6',5'4',2000,cruiser,fiberglass  monohull,"Ft lauderdale, Florida","$90,000",14-Oct-2013,1 diesel inboard
77,Coral Island Yachts Boat Mold 42,42',,,,other,fiberglass  catamaran,"Alva, Florida","$20,000",14-Oct-2013,
93,O'Day 27,27',,,1978,cruiser,fiberglass  monohull,"Galena, Maryland","$2,200",13-Oct-2013,1 diesel inboard
113,Catalina 36 Mark II,36'4'',11'11',5'10'',2000,motorsailer,fiberglass  monohull,"Willsboro Bay Marina, New York","$99,000",13-Oct-2013,1 diesel inboard
133,Oyster Lightwave 395,40',12',8',1989,racer/cruiser,fiberglass  monohull,"canary islands, Outside United States","$55,000",13-Oct-2013,1 diesel inboard
153,Catalina 36,36',12',6',1986,cruiser,fiberglass  monohull,"Blue Hill, Maine","$49,000",12-Oct-2013,1 diesel inboard
173,Schock Santana 20,20',,4',1977,racer/cruiser,fiberglass  monohull,"Akron, Ohio","$3,000",12-Oct-2013,
191,Catalina 22,22',8',4',1976,daysailer,fiberglass  monohull,"Stockton, Missouri","$4,500",10-Oct-2013,1 gas outboard
211,catalina 30,30',10.9',4.8',1987,cruiser,fiberglass  monohull,"Clearwater, Florida","$19,500",09-Oct-2013,1 diesel inboard
231,Iroquois mkII,30',14',1.5',1970,cruiser,fiberglass  catamaran,"Edgewater, Florida","$17,000",09-Oct-2013,1 gas outboard
251,Hunter 380,38',12.5',5',2001,cruiser,fiberglass  monohull,"Perry, Kansas","$95,000",09-Oct-2013,1 diesel inboard
271,hunter 25.5,25.5',9',4.5',1986,daysailer,fiberglass  monohull,"isle of palms, South Carolina","$5,600",08-Oct-2013,1 gas outboard
291,PEARSON Cutter,36',11.6',4.6',1981,cruiser,fiberglass  monohull,"Rio Dulce Guatemala, Outside United States","$69,500",08-Oct-2013,1 diesel inboard
311,West Marine Hard Bottom Avon,8'6',"4'6""'",.5',2005,dinghy,fiberglass  monohull,"Saint Augustine, Florida",$900,08-Oct-2013,0 other outboard
331,custom built Bruce Roberts,38',12',4'10',2005,cruiser,fiberglass  monohull,"Panama City, Florida","$78,500",07-Oct-2013,1 diesel inboard
351,Hunter Cherubini,25',8',4',1977,cruiser,fiberglass  monohull,"Pasadena, Maryland","$5,200",07-Oct-2013,1 gas outboard
371,C&C Mk1,35',9',5',1971,cruiser,fiberglass  monohull,"Kingston, Outside United States","$36,800",06-Oct-2013,1 diesel inboard
391,pearson dinghy,8',4',,,dinghy,fiberglass  monohull,"middle river, Maryland",$500,06-Oct-2013,
407,Pearson 26,26',8',4',1975,daysailer,fiberglass  monohull,"Branford, Connecticut","$7,500",06-Oct-2013,1 gas outboard
427,Tanzer T22,22',9',2.5'',1978,daysailer,fiberglass  monohull,"Clinton, Connecticut","$4,500",05-Oct-2013,1 gas outboard
447,Beneteau Oceanis 473,47',14'2',6'11',2005,cruiser,fiberglass  monohull,"Brooklyn, New York","$159,000",05-Oct-2013,1 diesel inboard
467,Tartan 4100,41'3',13'6',5'4',2008,cruiser,fiberglass  monohull,,"$349,000",04-Oct-2013,1 diesel inboard
485,US Yacht 22,22',,,1981,cruiser,fiberglass  monohull,"Moneta, Virginia","$2,500",04-Oct-2013,1 gas outboard
505, ,14',,,,daysailer,fiberglass  ,"Marietta, Georgia",$250,04-Oct-2013,
521, Tanzer,26',,3 10',1978,cruiser,fiberglass  monohull,,"$7,700",03-Oct-2013,1 gas outboard
539,catalina 22,22',8',1.75',1972,daysailer,fiberglass  monohull,"Bayville, New Jersey","$5,000",03-Oct-2013,1 gas outboard
559,Beneteau First 210,21',8.2',3-6',1994,cruiser,fiberglass  monohull,"Cleveland, Ohio","$10,500",03-Oct-2013,1 gas outboard
579, Precision,15',,,2000,daysailer,fiberglass  monohull,"Cleveland, Ohio","$3,500",03-Oct-2013, gas inboard
599,ISLAND 15,15',,,1985,cruiser,fiberglass  monohull,"Coopersburg, Pennsylvania","$1,900",02-Oct-2013, gas inboard
619,Beneteau 331,33',11.2',5.4',2001,other,fiberglass  monohull,"Athens, ","$75,960",02-Oct-2013,1 diesel inboard
659,parge inc scorpion,14',,,,other,fiberglass  ,"121 price st bostwick, Florida",$300,01-Oct-2013,
